گروه های درآمد,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380
مجموع درآمد پولی و غیر پولی خالص,271,306,19,281,347,31,21,207,201,24
درآمد پولی خالص,257,337,174,276,347,34,197,221,214,266
1- درآمد از مزد و حقوق – بخش دولتی و عمومی,295,252,111,165,308,535,256,213,283,182
2- درآمد از مزد و حقوق – بخش خصوصی,198,304,324,236,314,428,195,231,211,263
3- درآمد از مشاغل آزاد کشاورزی,276,427,362,256,222,2,305,288,113,427
4- درآمد از مشاغل آزاد غیر کشاورزی,249,359,108,337,356,296,101,203,173,271
5- درآمد های متفرقه,271,485,291,361,463,177,353,248,219,374
درآمد غیر پولی,303,239,227,291,346,244,242,176,171,175
1- ارزش اجاری مسکن شخصی )مالک نشین (,311,218,231,275,364,215,254,163,152,178
2- سایر,266,344,207,365,27,379,19,234,249,164
