تعداد افراد خانوار,کل,یک نفر,دو نفر,سه نفر,چهارنفر,پنج نفر,شش نفر,هفت نفر,هشت نفر,نه نفر,ده نفروبیشتر
1371,100,44,94,127,186,173,151,10,64,35,26
1372,100,41,99,131,179,182,149,95,56,35,33
1373,100,4,104,133,181,176,156,94,61,33,22
1374,100,43,104,149,188,18,134,94,51,31,26
1375,100,43,111,147,179,182,138,9,53,36,21
1376,100,42,116,167,192,178,133,81,47,24,2
1377,100,39,96,159,223,195,132,73,45,2,18
1378,100,42,109,166,223,173,121,79,43,24,2
1379,100,45,11,161,211,185,122,79,45,23,19
1380,100,45,103,167,219,186,128,74,37,21,2
