سال,کل,کمتر از 1سال,1 تا 5 سال,6 تا 10 سال,11 تا 15سال,16 تا 20سال,21 تا 30سال,31 تا 40سال,41 تا 50سال,51 تا 60سال,61 تا 70سال,71 سال وبیشتر
1371,100,0.9,12.1,15.4,14.7,9.9,14.1,12.6,7.9,6.2,4.4,1.8
1372,100,0.6,11.4,14.6,14.6,10.2,14.9,12.1,8,6.6,4.8,2.2
1373,100,0.5,10.2,14.6,15.9,10.7,13.6,12.8,8.5,6,4.8,2.4
1374,100,0.5,9.1,13.5,15.9,11.1,14.1,12.6,9.3,6.3,5.1,2.5
1375,100,0.4,7.8,12.3,16.3,12.5,14.4,12.2,9.7,6.6,5.1,2.7
1376,100,0.6,8.2,12.1,15.6,12.6,15.5,13.3,9.2,5.9,4.6,2.4
1377,100,0.5,7.6,11.7,15.4,13.1,15.5,13.2,9.8,6.4,4.5,2.3
1378,100,0.6,6.9,10.8,15.4,13.7,15.3,13.6,10.4,6,4.7,2.6
1379,100,0.6,6.7,9.9,14.7,14.5,15.8,13.3,10.9,6.1,4.8,2.7
1380,100,0.5,6.3,8.9,14.1,14.9,16.7,12.8,11.5,6.5,4.9,2.9
