سال,جنسیت,کل,بی سواد,خواندن و نوشتن,تحصیلات ابتدایی,تحصیلات متوسطه,تحصیلات دانشگاهی
1371,مرد,100,146,3,362,408,54
1371,زن,100,25,17,357,348,28
1372,مرد,100,142,25,351,422,6
1372,زن,100,242,16,346,364,32
1373,مرد,100,138,21,349,425,67
1373,زن,100,24,15,344,368,33
1374,مرد,100,139,24,328,439,7
1374,زن,100,226,15,327,39,42
1375,مرد,100,133,18,319,457,73
1375,زن,100,223,12,31,408,47
1376,مرد,100,126,17,302,466,89
1376,زن,100,205,12,31,422,51
1377,مرد,100,116,19,297,487,81
1377,زن,100,202,1,299,433,56
1378,مرد,100,112,2,282,491,95
1378,زن,100,188,14,29,444,64
1379,مرد,100,112,21,273,496,99
1379,زن,100,188,14,279,451,68
1380,مرد,100,107,2,255,507,111
1380,زن,100,185,16,261,461,77
