سال,جنسیت,کل,شاغل,بیکار در جستجوی کار,با درآمد بدون کار,محصل,خانه دار,سایر
1371,مرد,100,501,34,34,381,"",5
1371,زن,100,82,08,31,364,474,41
1372,مرد,100,498,38,42,374,"",48
1372,زن,100,81,08,3,369,474,38
1373,مرد,100,483,31,47,396,"",43
1373,زن,100,88,07,35,375,453,42
1374,مرد,100,48,46,48,382,"",44
1374,زن,100,88,11,34,368,464,35
1375,مرد,100,481,47,51,378,"",43
1375,زن,100,81,15,4,369,46,35
1376,مرد,100,47,61,48,373,"",48
1376,زن,100,75,2,42,364,467,32
1377,مرد,100,474,56,46,378,"",46
1377,زن,100,78,24,41,354,468,35
1378,مرد,100,478,66,52,357,"",47
1378,زن,100,8,26,39,354,465,36
1379,مرد,100,488,63,51,343,"",55
1379,زن,100,85,25,46,344,463,38
1380,مرد,100,496,67,56,324,"",56
1380,زن,100,87,23,51,33,47,39
