گروه های هزینه,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380
جمع کل هزینه ناخالص,25.9,22.3,27.6,34,24.8,26.1,20.2,22.5,19.7,15.8
1- خوراکی ها ، آشامیدنی ها و دخانیات,25.5,19.7,28.8,43.4,17.5,13.9,21.4,19.4,17.6,11.3
خوراکی ها و آشامیدنی ها,26.7,20.3,28.3,43.7,17.6,14.1,21.6,19.4,17.9,11.2
دخانیات,-0.8,2.8,44.4,34.6,13.5,4.9,13.5,19.5,2.4,12.1
2- پوشاک و کفش,19.5,9.9,23.9,51.4,24.5,21.3,2.1,18.3,14.5,11.1
3- مسکن ، آب ، برق و سوخت,31.1,21,21.1,28.2,35,21.7,24,19.6,16.8,19.4
4- لوازم ، اثاث و خدمات مورد استفاده در خانه,28.1,21.9,24.6,24.9,25.6,39.5,11.3,20.2,23.5,13.5
5- درمان و بهداشت,24.1,58,26.3,12,23.8,32.5,21.3,28,12.4,30.6
6- حمل و نقل و ارتباطات,19.3,26.8,46.9,21.2,20,62.2,30,35.4,25.2,13.9
حمل و نقل,17.7,25.8,45.8,19.7,18.8,67.4,30.1,35.2,25.2,10.4
ارتباطات,48.3,40.1,60.1,38.1,32.5,15.6,29.4,36.9,25.6,58.7
7- تفریح ، سرگرمی ، تحصیل و خدمات فرهنگی,33.8,36.9,25.7,26.3,41.7,54.9,18.9,21.6,35.7,26
تفریح و سرگرمی,27.6,15,7.7,14.2,38.7,81.9,14.8,19.8,44.3,25.5
تحصیل و خدمات فرهنگی,46.6,76.6,46.9,36.7,43.9,36.2,22.8,23.1,28.6,26.6
8- کالاها و خدمات متفرقه,21.4,28.3,33.9,34.6,26.7,37.8,16.9,28.3,28.1,17.9
