سال,کل,بتون آرمه,اسکلت فلزی,بلوک سیمانی,آجری با تیرچه بلوک,آجری با تیرآهن,آجری با تیر چوبی,خشت، گل و چوب,سایر
1371,100,1.4,2.5,3.6,1.6,69.8,10.7,6.6,3.8
1372,100,1.4,3.4,3.7,1.9,69.5,10.5,6.3,3.3
1373,100,1.9,5.3,3.2,2,67,12,4.8,3.8
1374,100,1.5,6.9,3.2,1.9,67.5,11.1,4.2,3.7
1375,100,1.6,6.8,3.2,2.1,66.9,11.1,4.6,3.7
1376,100,2.8,7.5,3.3,3.4,65.8,10.2,4.2,2.8
1377,100,2.3,7.6,3.2,3,67.8,9.6,3.2,3.3
1378,100,3.1,8.4,4.7,3.5,64.8,9,3.4,3.1
1379,100,3.1,8.1,4.8,3.3,64.9,9.1,3.3,3.4
1380,100,4.1,7.9,4.6,3,65.4,8.8,2.9,3.3
