سال,آب لوله کشی,برق,گاز شهری,سیستم فاضلاب شهری,تلفن,آشپزخانه,حمام,کولر ثابت,حرارت مرکزی
1371,96.2,99.7,33.8,"",33.7,84.6,75.9,50.7,9.2
1372,96.9,99.8,41.5,"",38.7,85.2,79,50.7,8.2
1373,96.8,99.8,48.8,"",43.6,86.6,80.2,52.8,8.6
1374,97.7,99.7,54,"",48.5,87.2,82.1,54.3,8.9
1375,97.8,99.9,59,"",53.4,87.6,83.4,54.4,8.2
1376,97.4,99.8,58.2,15.4,53.5,87.4,85.3,54.4,9.7
1377,97.4,100,61,15.6,59,88.6,87.5,53.6,9.2
1378,97.8,99.9,63.4,16.7,64.6,89.4,89.3,54.3,10
1379,98.3,99.9,67.8,17.8,68.3,90.5,90.4,54.5,9.1
1380,98.6,99.9,72.6,19.3,72.1,91.2,92,56.4,9.7
