سال,اتومبیلشخصی,موتورسیکلت,دوچرخه)ازنمره 16به بالا(,چرخخیاطی,رادیو ضبط و ضبط صوت,رادیو,تلویزیون,ویدیو,کامپیوترشخصی,یخچال,فریزرو یخچالفریزر,انواع پنکه,اجاق گاز,جارو برقی,ماشینلباسشویی,تلفنهمراه
1371,17.1,14,17,76.8,"","",99,5.4,"",89.8,23.1,"",91.7,39.6,49.9,""
1372,16.5,13.2,18.5,77.4,"","",95.3,7.4,"",90,24.3,"",92.9,43,51.9,""
1373,17.2,14.4,20.1,76.9,"","",95.8,10.4,"",90.2,26.1,"",94.5,44.8,52.8,""
1374,15.8,13.4,19.3,76.9,"","",95.4,11.5,"",89.9,26.5,"",94.5,47.1,53.7,""
1375,15.5,12.9,19.1,76.1,"","",95.3,12.4,"",89.8,27.5,"",94.7,48.9,54.1,""
1376,16.1,12.9,19.3,75.8,"","",95.1,14.8,1.5,89.1,30.3,59.4,94.4,51.7,54.4,""
1377,17.1,13.8,19.9,76,73.3,24.7,96,17.3,2.1,88.7,33,60.4,94.6,56.4,56.9,""
1378,17.5,12.3,20.4,74.2,73.8,21.7,95.9,21.1,3.4,87.3,37.6,60.2,95.6,58.9,56.7,""
1379,17.8,13.7,21.9,74.2,76,21.7,96.5,25.4,4.6,86.5,39,62.6,96.3,61.4,56.7,""
1380,18.5,13.5,22.9,75.7,76.8,21.1,97.1,30.8,7.1,86.2,40.5,62.3,96.6,65.9,59.1,5.2
