گروه های درآمد,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380
مجموع درآمد پولی وغیر پولی ناخالص,4112924,5375311,6504449,8323276,11079933,14535846,17705404,21538568,25925997,31674194
درآمد پولی ناخالص,2891665,3862311,4648547,5927121,7854948,10525478,12725522,15681201,19066798,23616290
1- درآمد از مزد وحقوق – بخش دولتی وعمومی,787008,975724,1092664,1288905,1718600,2583622,3245421,3959873,5078096,6014644
2- درآمد از مزد وحقوق – بخش خصوصی,409780,533881,710566,887306,1166379,1664453,1982750,2460405,2996637,3779934
3- درآمد از مشاغل آزاد کشاورزی,97850,140834,190209,239078,291765,298069,388664,502299,558554,798727
4- درآمد از مشاغل آزاد غیر کشاورزی,1103871,1496891,1667276,2223268,3015611,3934261,4348333,5234659,6118781,7747156
5- درآمدهای متفرقه,290380,428890,558105,753379,1106178,1296538,1759791,2191517,2675807,3682409
6- درآمد حاصل ازفروش کالاهای دست دوم,202776,286091,429727,535185,556415,748535,1000563,1332448,1638923,1593420
درآمد غیر پولی,1221259,1513000,1855902,2396155,3224985,4010368,4979882,5857367,6859199,8057904
1- ارزش اجاری مسکن شخصی)مالک نشین(,1018582,1240582,1527174,1947376,2655268,3224920,4045168,4703759,5417933,6380603
2- سایر,202677,272418,328728,448779,569717,785448,934714,1153608,1441266,1677301
