گروه های درآمد,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380
مجموع درآمد پولی و غیر پولی ناخالص,26,307,21,28,331,312,218,216,204,222
درآمد پولی ناخالص,243,336,204,275,325,34,209,232,216,239
1- درآمد از مزد و حقوق – بخش دولتی و عمومی,286,24,12,18,333,503,256,22,282,184
2- درآمد از مزد و حقوق – بخش خصوصی,201,303,331,249,314,427,191,241,218,261
3- درآمد از مشاغل آزاد کشاورزی,276,439,351,257,22,22,304,292,112,43
4- درآمد از مشاغل آزاد غیر کشاورزی,254,356,114,333,356,305,105,204,169,266
5- درآمد های متفرقه,28,477,301,35,468,172,357,245,221,376
6- درآمد حاصل از فروش کالاهای دست دوم,7,411,502,245,4,345,337,332,23,-28
درآمد غیر پولی,303,239,227,291,346,244,242,176,171,175
1- ارزش اجاری مسکن شخصی )مالک نشین (,311,218,231,275,364,215,254,163,152,178
2- سایر,266,344,207,365,27,379,19,234,249,164
