سال,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390
جمع کل هزینه خالص,39452673,45048840,54932459,61955180,72550085,92731753,108332091,119774381,134543218,166419558
1- خوراکیها و آشامیدنیها,11297932,12710416,14979918,15915130,18586526,23144319,27475237,30168256,35213301,43266836
2- دخانیات,230805,237029,270977,295182,311768,388341,452582,518649,518769,558236
3- پوشاک و کفش,2634696,2935468,3304029,3750713,4036673,4988361,5358821,6447370,6931457,7963234
4- مسکن، آب، برق، گاز و سایر سوخت ها,11665237,13814350,16154071,18511538,22690249,31462305,38211158,39878707,42636843,53291594
5- لوازم، اثاث و خدمات مورد استفاده در خانه,2495779,2549642,3293102,3799565,4006745,5286064,5748326,6622773,7324779,8240649
6- بهداشت و درمان,2169991,2347963,2502931,2867327,3411446,4308737,5208389,6455451,7866298,9299867
7- حمل ونقل,4194578,4922710,6668375,7697253,8842168,9283318,9979953,11337464,12508072,16718772
8- ارتباطات,519472,657267,858595,1225884,1622651,2553061,2946957,2921053,3189024,3930990
9- تفریح و امور فرهنگی,1491434,1604637,2017118,2015007,2144999,2530059,2813405,3443432,3935566,4676378
10- تحصیل,671778,789034,1115060,1428782,1765455,2192480,2650530,2854071,3474714,3652660
11- رستوران و هتل,988878,1045811,1350761,1504734,1728100,2192449,2481812,2846005,3142771,3973288
12- کالاها و خدمات متفرقه,1092093,1434513,2417522,2944065,3403305,4402259,5004921,6281150,7801624,10847054
