سال,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390
مجموع درآمد پولی و غیرپولی ناخالص,27.1,14.6,20.7,19.5,16.6,24.8,17,9.5,10.4,22.2
درآمد پولی ناخالص,26.6,13.7,22.7,21.9,13.7,19.2,15.6,11.7,12.8,23.2
1- درآمد از مزد و حقوق بخش دولتی و عمومی,26,0.7,29.7,23.3,10.8,11.1,8,5,10.9,7.5
2- درآمد از مزد و حقوق بخش خصوصی,26.6,22.6,24,22.8,14.9,26.4,20.4,9.8,15.7,24
3- درآمد از مزد و حقوق بخش تعاونی,"","","","","","","","","",""
4- درآمد از مشاغل آزاد کشاورزی,"",12.5,66.9,"",46,20.2,"","",33.1,10.8
5- درآمد از مشاغل آزاد غیرکشاورزی,24.1,15.8,20,26.2,8.8,20,9.6,1.9,11.6,8.8
6- درآمدهای متفرقه,37.3,25.9,13.2,18.1,29.9,22.2,33.3,36.4,13.9,48.8
7- درآمد حاصل از فروش کالاهای دست دوم,37.6,7,21.7,19,-6.9,13.9,17.2,7.4,2.9,14.1
درآمد غیرپولی,28.6,17.2,15,12.3,26.1,41.1,20.3,4.3,4.3,19.4
1- ارزش اجاری مسکن شخصی (مالکنشین),30,17.5,12.5,11.6,26.7,42.5,18.7,5.3,2.5,14.2
2- سایر,23.1,15.9,24.9,14.8,23.9,35.9,26.4,0.6,11.2,37.1
