سال,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390
جمع کل هزینه ناخالص,42696688,48350184,59048828,67029089,77703979,98816925,115445398,127139134,141661774,173925938
1- خوراکیها و آشامیدنیها,11297932,12710416,14979918,15915130,18586526,23144319,27475237,30168256,35213301,43266836
2- دخانیات,230805,237029,270977,295182,311768,388341,452582,518649,518769,558236
3- پوشاک و کفش,2635262,2935696,3304088,3750713,4036673,4988361,5358821,6447370,6931457,7963384
4- مسکن، آب، برق، گاز و سایر سوخت ها,11665237,13814350,16154071,18511538,22690249,31462305,38211158,39878707,42636843,53291594
5- لوازم، اثاث و خدمات مورد استفاده در خانه,2585184,2630702,3338078,3850945,4054116,5329590,5811685,6702724,7382442,8304318
6- بهداشت و درمان,2169991,2347963,2502931,2867327,3411446,4308737,5208836,6455474,7866298,9299884
7- حمل ونقل,6020468,6848073,9071265,10574223,11325598,12165523,13365166,14766676,16013976,20309854
8- ارتباطات,520559,659086,862830,1233057,1636452,2586804,2982967,2942121,3203340,3941486
9- تفریح و امور فرهنگی,1520960,1621553,2039612,2034199,2167015,2546064,2823988,3459946,3951663,4691431
10- تحصیل,671778,789034,1115060,1428782,1765455,2192480,2650530,2854071,3474714,3652661
11- رستوران و هتل,988878,1045811,1350761,1504734,1728100,2192449,2481812,2846005,3142771,3973288
12- کالاها و خدمات متفرقه,2389634,2710471,4059237,5063259,5990581,7511952,8622616,10099135,11326200,14672966
,,,,,,,,,,
,,,,,,,,,,
جدول شماره ۱۶ درصد توزیع افراد شش ساله و بیشتر خانوارها به تفکیک جنسیت بر حسب میزان سواد,,,,,,,,,,
