سال,جنسیت,کل,بی سواد,خواندن و نوشتن,تحصیلات ابتدایی,تحصیلات راهنمایی و متوسطه,تحصیلات دانشگاهی
1381,مرد,100,106,18,245,513,118
1381,زن,100,185,14,253,458,9
1382,مرد,100,109,22,234,518,117
1382,زن,100,19,16,236,46,98
1383,مرد,100,92,18,23,521,139
1383,زن,100,165,14,24,467,114
1384,مرد,100,91,18,219,52,152
1384,زن,100,16,14,235,469,123
1385,مرد,100,89,16,229,506,16
1385,زن,100,162,13,227,463,135
1386,مرد,100,87,16,217,51,17
1386,زن,100,154,15,228,451,152
1387,مرد,100,83,13,216,503,185
1387,زن,100,149,16,223,442,17
1388,مرد,100,9,17,205,493,195
1388,زن,100,159,15,215,439,172
1389,مرد,100,9,16,199,493,202
1389,زن,100,164,12,211,428,185
1390,مرد,100,81,12,20,498,209
1390,زن,100,144,13,208,442,193
