سال,کل,کشاورزی، دامپروری، شکار، جنگلداری و ماهیگیری,صنعت و معدن,برق، گاز و آب,ساختمان,عمده فروشی، خرده فروشی، هتلداری و رستوران,حمل و نقل، انبارداری و ارتباطات,خدمات مالی، بیمه، ملکی، حقوقی و تجاری,خدماتعمومی، اجتماعی و شخصی
1381,100,39,218,1,108,227,98,49,251
1382,100,37,211,1,127,232,101,53,229
1383,100,42,207,1,12,209,107,59,246
1384,100,39,211,1,128,209,108,63,231
1385,100,46,194,08,134,221,111,6,226
1386,100,4,183,09,141,221,112,7,224
1387,100,35,182,09,15,213,11,71,23
1388,100,41,174,07,146,215,121,75,221
1389,100,41,181,09,142,215,117,76,219
1390,100,36,184,1,143,216,115,77,219
