سال,آب لوله کشی,برق,گاز شهری,سیستم فاضلاب شهری,آشپزخانه,حمام,کولر ثابت,حرارت مرکزی,انباری,تلفن,اینترنت
1381,982,999,763,197,926,937,599,99,"",768,""
1382,983,998,801,212,922,938,60,91,"",803,""
1383,981,999,817,221,94,952,628,11,"",834,""
1384,981,999,856,249,949,96,644,107,364,881,""
1385,978,999,871,258,948,962,666,103,394,911,""
1386,989,998,885,284,957,971,684,106,401,922,""
1387,987,999,892,291,961,976,699,97,407,918,""
1388,985,996,904,332,966,98,708,104,411,911,""
1389,99,998,915,356,967,983,72,98,417,882,223
1390,992,100,932,368,975,991,79,103,408,853,218
