سال,اتوموبیل شخصی,موتورسیکلت,دوچرخه (از نمره ۱۶ به بالا),چرخ خیاطی,رادیو ضبط و ضبط صوت,رادیو,تلویزیون,ویدیو,رایانه,دوربین فیلمبرداری,یخچال,فریزر و یخچال فریزر,انواع پنکه,اجاق گاز,جاروبرقی,ماشین لباسشویی,تلفن همراه
1381,206,147,241,738,751,209,976,393,115,,856,44,608,974,703,61,83
1382,209,167,233,719,748,198,977,435,161,,837,454,615,975,717,606,112
1383,251,189,224,722,738,195,984,523,206,,799,511,596,984,782,661,158
1384,288,188,218,725,733,176,988,583,263,113,785,54,594,989,816,684,271
1385,311,188,211,71,698,178,986,566,303,128,76,581,592,986,828,696,394
1386,33,195,204,701,698,167,99,574,349,148,727,62,577,988,859,736,638
1387,354,196,196,678,657,152,991,58,391,146,692,663,563,989,884,763,809
1388,366,19,168,677,604,136,991,588,411,148,66,693,538,99,891,78,867
1389,395,185,162,654,557,143,991,59,438,157,627,732,539,991,902,80,899
1390,422,185,157,636,449,128,992,61,459,154,548,763,496,994,915,829,933
