سال,1381,1382,1383,1384,1385,13860,13870,13880,13890,13900
انواع برنج,182,180,180,175,168,1740,1460,1540,1590,1470
انواع نان,574,551,506,485,486,4580,4450,4250,3950,3560
گوشت دام,63,59,60,59,64,570,560,480,470,480
گوشت پرندگان,82,92,87,88,91,960,900,950,930,910
فرآورده های گوشت دام و پرندگان,-,-,-,-,-,60,50,50,40,40
انواع ماهی,18,18,20,20,19,200,160,160,170,150
حیوانات دریایی و فرآورده های آن,-,-,-,-,-,40,30,30,30,30
انواع شیر,171,194,211,216,215,2060,2150,2320,2340,1660
انواع ماست,127,117,95,92,88,860,750,680,640,840
انواع پنیر,26,24,26,25,26,260,250,240,230,250
تخم مرغ,44,43,40,39,37,390,380,390,410,350
روغنهای نباتی,53,52,50,48,46,470,440,440,450,430
انواع قند,37,36,34,32,30,290,270,270,270,240
شکر,24,20,20,20,19,170,150,160,140,120
انواع چای,7,6,6,5,5,60,50,50,50,50
جدول شماره ۱۶ درصد توزیع افراد شش ساله و بیشتر خانوارها به تفکیک جنسیت بر حسب میزان سواد,685,722,663,626,578,5210,5040,5470,5180,4900
انواع سیگار خارجی,722,662,688,772,717,8000,7490,7020,6290,6110
