سال,اتومبیلشخصی,موتورسیکلت,دوچرخه) ازنمره 16به بالا(,چرخخیاطی,رادیوضبطوضبط صوت,رادیو,تلویزیون,ویدیو ودستگاه پخشلوح فشرده,رایانه,دوربینفیلمبرداری,یخچال,فریزر ویخچالفریزر,انواع پنکه,اجاق گاز,جارو برقی,ماشینلباسشویی,تلفنهمراه
1386,33,19.5,20.4,70.1,69.8,16.7,99,57.4,34.9,14.8,72.7,62,57.7,98.8,85.9,73.6,63.8
1387,35.4,19.6,19.6,67.8,65.7,15.2,99.1,58,39.1,14.6,69.2,66.3,56.3,98.9,88.4,76.3,80.9
1388,36.6,19,16.8,67.7,60.4,13.6,9.1,58.8,41.1,14.8,66,69.3,53.8,99,89.1,78,86.7
1389,39.5,18.5,16.2,65.4,55.7,14.3,99.1,59,43.8,15.7,62.7,73.2,53.9,99.1,90.2,80,89.9
1390,42.2,18.5,15.7,63.6,44.9,12.8,99.2,61,45.9,15.4,54.8,76.3,49.6,99.4,91.5,82.9,93.3
1391,43.1,18.4,14.4,58.9,38.1,12.2,99.4,57.7,44.9,14.6,52.7,79.4,49.6,99.3,91.5,83.4,93.7
1392,44.4,17.8,13.7,57.6,30.2,12.8,99.3,53.8,47,15.2,50.2,81.8,51.1,99.2,92.1,84.5,94.7
1393,45.8,17.2,13.7,54.8,26.4,12.9,99.2,51.2,48.3,13.2,46.7,80.8,52.3,99.5,92.8,85.5,95.2
1394,46.9,17.4,13.4,53.3,20.8,13,99.3,46,46.6,11.6,44.4,82.5,52.3,99.5,93.1,86.5,95.3
1395,48.6,17.2,13,48.6,16.9,11.9,99.5,42.6,45.3,10.3,41.2,84.4,49.5,99.6,94.1,87.8,96.3
