گروه های هزینه,1395,1396
خوراکیها، آشامیدنیها و دخانیات,91309921,100518914
خوراکیها و آشامیدنیها,89975597,99130268
1- آرد، رشته و غلات,8700547,9736881
آرد و رشته,8393188,9442645
غلات و فرآورده های آن,307359,294236
2- انواع نان و بیسکویت,6999471,7053423
انواع نان,5108159,5062521
بیسکویت ، کیک و شیرینی خشک,1891312,1990902
3- انواع گوشت,20677606,22885171
گوشت دام,12140810,13565798
گوشت پرندگان,6132772,6804714
فرآورده های گوشت دام و پرندگان,229807,240077
انواع ماهی,1851778,1961799
حیوانات دریایی و فرآوردههای آن,322439,312783
4- شیر و فرآوردههای آن و تخم پرندگان,10430921,11901983
انواع شیر,2442271,2687449
فرآوردههای شیر,6052961,6771658
تخم پرندگان,1935689,2442876
5- روغنها و چربیها,2946979,3178512
روغنها و چربیهای حیوانی,752014,899050
انواع کره,1960506,2050633
روغنهای حیوانی,234459,228829
6- میوههای تازه,16342191,17805275
میوههای درختی (بجز مرکبات),9553944,10527185
مرکبات,4368478,4530066
میوههای جالیزی,2419769,2748024
7- سبزیهای تازه,9370985,11383497
انواع سبزی های برگی (تازه و یخ زده),2033010,2421055
انواع سبزی های بوته ای (تازه و یخ زده),4990782,5750302
انواع سبزی های ریشه ای (تازه و یخ زده),2347193,3212140
8- خشکبار و آجیل,3154982,3134563
9- حبوب,1787962,1995938
10- انواع کنسرو و فرآوردههای سبزی,1055152,1132369
11- قند و شکر,871122,815909
12- انواع شیرینی و مربا (به جز شیرینی خشک),2908441,3140366
13- چای ، قهوه و کاکایو,1185057,1159499
14- انواع ادویه ، سسها و سایر ترکیبات خوراکی,1222512,1270762
15- آشامیدنیها,2321669,2536120
دخانیات,1334324,1388646
