سال,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400
جمع کل هزینه ناخالص,216539613,284462336,328759975,352650751,393005874,421308525,521930268,671842795,929411537,1414845174
1- خوراکیها و آشامیدنیها,56841253,74723610,80806786,83276315,89975597,99130268,131953936,169665228,259663866,411975439
2- دخانیات,862864,1175924,1159477,1118178,1334324,1388646,2331356,2869598,3712221,5880199
3- پوشاک و کفش,9842351,13149189,15243479,15896767,16913634,17783671,18310984,19755871,26012606,47979254
4- مسکن، آب، برق، گاز و سایر سوخت ها,71157887,97073812,109901731,123496095,139434564,149376555,195661622,267870302,369261248,531127383
5- لوازم، اثاث و خدمات مورد استفاده در خانه,9646582,11923482,13600145,14536075,15776647,16886594,19990691,25312337,39543374,56724513
6- بهداشت و درمان,11857892,16021227,19031440,20549488,23152774,24203067,28441834,33217591,45091778,77056390
7- حمل ونقل,20399151,24314832,34059070,36055916,41866795,44658485,47248478,59556296,73393657,116543775
8- ارتباطات,6000273,7664795,9190056,9176343,9877368,10226442,11033981,13600271,22018995,28956406
9- تفریح و امور فرهنگی,3475291,4598675,5551157,5230025,6078150,6464457,7427978,8506530,6784754,11206421
10- تحصیل,4217329,4989843,6169927,6524080,7344231,7599261,7912616,8549445,9181942,11159182
11- رستوران و هتل,4535279,5856954,6552626,7401990,8368087,8998914,10404270,13114612,10534591,22399462
12- کالاها و خدمات متفرقه,17703461,22969993,27494081,29389479,32883703,34592165,41212522,49824714,64212505,93836750
