سال,1399,1400
غیرخوراک,666035450,996989536
1- پوشاک و کفش,26012606,47979254
پوشاک,20008198,37340957
انواع کفش و تعمیرات آن,6004408,10638297
2- مسکن، آب، برق، گاز و سایر سوخت ها,369261248,531127383
اجارهبها و ارزش اجاری مسکن,353859676,512207026
تعمیرات و خدمات مسکن,2077737,2639570
آب و خدمات متفرقه مسکن,4687957,6129507
برق، گاز و سایر سوختها,8635878,10151280
3- لوازم، اثاث و خدمات مورد استفاده در خانه,39543374,56724513
مبلمان، اثاث، فرش و انواع کفپوش,8795151,13727684
منسوجات مورد استفاده در خانه,1499134,2151187
وسایل برقی، پختوپز، حرارتی و وسایلعمده مورد استفاده در خانه,10893219,16417096
ظروف، لوازم آشپزخانه و سایر لوازم خانه,3898093,6316419
ابزار و وسایل برای خانه و باغچه,1720036,2395529
کالاها و لوازم مصرفی بیدوام و کمدوام خانه,12737741,15716598
4- بهداشت و درمان,45091778,77056390
دارو، لوازم و مواد طبی و درمانی,17952415,28479046
خدمات پزشکی، دندانپزشکی و پیراپزشکی و هزینههای بیمارستانی,27139363,48577344
5- حمل و نقل,73393657,116543775
خرید وسایل نقلیه شخصی,33942422,59882460
تعمیرات و سوخت وسایل نقلیه شخصی,29604014,39565119
هزینههای رفت و آمد و حمل و نقل کالا,9847221,17096196
6- ارتباطات,22018995,28956406
7- تفریح و امور فرهنگی,6784754,11206421
8- تحصیل,9181942,11159182
9- رستوران و هتل,10534591,22399462
غذاها و خوراکیهای آماده و آشامیدنیها,10342050,22180615
هزینه هتل و مسافرخانه (بدون تور),192541,218847
10- کالاها و خدمات متفرقه,64212505,93836750
لوازم بهداشتی و آرایشی و خدمات شخصی,19691694,29680811
لوازم شخصی و زینتی و هزینههای متفرقه شخصی,7599323,12701510
خدمات اجتماعی,142321,718330
انواع بیمه,20121841,28602592
خدمات مالی,10629615,14053632
سایر کالاها و خدمات متفرقه,6027711,8079875
