سال,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400
مجموع درآمد پولی و غیرپولی خالص,25.1,32,13.4,13.1,11.3,12.3,21.5,27.9,39.7,51
درآمد پولی خالص,19.4,28.6,14.3,13.4,10.7,14.6,15.8,22.2,40.4,55.1
1- درآمد از مزد و حقوق بخش دولتی و عمومی,4.1,23.8,25.3,13.5,11.9,11,3.1,21.1,37.3,33.5
2- درآمد از مزد و حقوق بخش خصوصی,15.5,23.8,23.7,13,13,20.3,14.2,21.8,37.9,60.7
3- درآمد از مزد و حقوق بخش تعاونی,"","","","","","","","","",""
4- درآمد از مشاغل آزاد کشاورزی,10,50.5,26.8,11.4,4.2,-2.3,19.6,12.6,66.2,72.6
5- درآمد از مشاغل آزاد غیرکشاورزی,25.2,37.7,3.3,14.1,8.3,12,17.8,20.7,34.8,58.1
6- درآمدهای متفرقه,25.2,25.7,13.3,13.3,10.7,15.6,20.2,24.1,45.4,56.3
درآمد غیرپولی,39.8,39.9,11.5,12.5,12.5,7.5,34.5,39,38.5,44
1- ارزش اجاری مسکن شخصی (مالکنشین),46.4,44.4,11.6,12.2,9.2,9.2,35.8,43,38.3,42.7
2- سایر,20.9,24.2,11.5,13.5,25.6,1.5,29.6,23.2,39.6,50.1
