سال,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400
جمع کل هزینه خالص,209711368,275126084,318154983,343158521,382756446,410400259,507470706,651795296,896848469,1370744895
1- خوراکیها و آشامیدنیها,56841253,74723610,80806786,83276315,89975597,99130268,131953936,169665228,259663866,411975439
2- دخانیات,862864,1175924,1159477,1118178,1334324,1388646,2331356,2869598,3712221,5880199
3- پوشاک و کفش,9842104,13149189,15243479,15896767,16913634,17783671,18310984,19755871,26003480,47979254
4- مسکن، آب، برق، گاز و سایر سوخت ها,71157887,97073812,109901731,123496095,139434564,149376554,195661622,267870302,369261248,531127383
5- لوازم، اثاث و خدمات مورد استفاده در خانه,9591044,11806685,13543855,14461820,15671874,16802280,19854720,25188055,39291541,56289388
6- بهداشت و درمان,11857892,16021227,19031440,20549488,23152774,24203067,28441834,33217549,45091778,77056390
7- حمل ونقل,16678421,18608719,25985761,28852356,34011193,36089757,37410688,45057478,51485174,84535240
8- ارتباطات,5973877,7617710,9137363,9080521,9832379,10178238,10944992,13438684,21645480,28599689
9- تفریح و امور فرهنگی,3468072,4586508,5544427,5277583,6075015,6450409,7376908,8464726,6750272,11164447
10- تحصیل,4217329,4989843,6169927,6524080,7344231,7599261,7912616,8549445,9181942,11159182
11- رستوران و هتل,4535279,5856954,6552626,7401990,8368087,8998914,10404270,13114612,10534591,22399462
12- کالاها و خدمات متفرقه,14685346,19515903,25078111,27223328,30642774,32399194,36866780,44603748,54226876,82578822
