سال,13910,13920,13930,13940,13950,13960,13970,13980,13990,14000
جمع کل هزینه خالص,260,312,156,79,115,72,237,284,376,528
1- خوراکیها و آشامیدنیها,314,315,81,31,80,102,331,286,530,587
2- دخانیات,546,363,-14,-36,193,41,679,231,294,584
3- پوشاک و کفش,236,336,159,43,64,51,30,79,316,845
4- مسکن، آب، برق، گاز و سایر سوخت ها,335,364,132,124,129,71,310,369,379,438
5- لوازم، اثاث و خدمات مورد استفاده در خانه,164,231,147,68,84,72,182,269,560,433
6- بهداشت و درمان,275,351,188,80,127,45,175,168,357,709
7- حمل ونقل,-03,116,396,110,179,61,37,204,143,642
8- ارتباطات,101,275,199,-06,83,35,75,228,611,321
9- تفریح و امور فرهنگی,94,322,209,-48,151,62,144,147,-203,654
10- تحصیل,155,183,236,57,126,35,41,80,74,215
11- رستوران و هتل,141,291,119,130,131,75,156,261,-197,1126
12- کالاها و خدمات متفرقه,354,329,285,86,126,57,138,210,216,523
