سال,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400
مجموع درآمد پولی و غیرپولی ناخالص,25,32.4,13.3,12.4,11.3,12,21.6,28.1,40.5,50.5
درآمد پولی ناخالص,19.8,29.4,14.1,12.3,10.8,13.9,16.3,22.8,41.5,54
1- درآمد از مزد و حقوق بخش دولتی و عمومی,5.3,23.9,25,14.2,12.1,9.9,2.7,21.3,39.4,34.4
2- درآمد از مزد و حقوق بخش خصوصی,15.9,24.3,23.6,12.8,13.4,19.8,14.1,22,37.9,61.1
3- درآمد از مزد و حقوق بخش تعاونی,"","","","","","","","","",""
4- درآمد از مشاغل آزاد کشاورزی,10.2,50.9,26.9,11.4,4.1,-2.1,19.5,12.5,66.1,72.2
5- درآمد از مشاغل آزاد غیرکشاورزی,24.8,38.3,3.2,14.1,8.6,11.5,18.4,20.3,34.5,57.9
6- درآمدهای متفرقه,25.3,26.2,12.7,13.3,10.7,15.6,20.2,24.1,45.4,56.3
7- درآمد حاصل از فروش کالاهای دست دوم,28.2,36.7,13.6,-10.5,8,6.4,32.6,38.6,62.4,35.4
درآمد غیرپولی,39.8,39.9,11.5,12.5,12.5,7.5,34.5,39,38.5,44
1- ارزش اجاری مسکن شخصی (مالکنشین),46.4,44.4,11.6,12.2,9.2,9.2,35.8,43,38.3,42.7
2- سایر,20.9,24.2,11.5,13.5,25.6,1.5,29.6,23.2,39.6,50.1
