سال,1401,1402
غیرخوراک,1581048221,2374627765
1- پوشاک و کفش,89106056,131928780
پوشاک,70345519,102915121
انواع کفش و تعمیرات آن,18760537,29013659
2- مسکن، آب، برق، گاز و سایر سوخت ها,805000154,1182233454
اجارهبها و ارزش اجاری مسکن,780233662,1149220301
تعمیرات و خدمات مسکن,4156276,6350527
آب و خدمات متفرقه مسکن,7891673,10748309
برق، گاز و سایر سوختها,12718543,15914317
3- لوازم، اثاث و خدمات مورد استفاده در خانه,91506700,133228978
مبلمان، اثاث، فرش و انواع کفپوش,22541788,33100608
منسوجات مورد استفاده در خانه,3780923,5723015
وسایل برقی، پختوپز، حرارتی و وسایلعمده مورد استفاده در خانه,25385806,37801153
ظروف، لوازم آشپزخانه و سایر لوازم خانه,10714363,15829971
ابزار و وسایل برای خانه و باغچه,3787996,5284622
کالاها و لوازم مصرفی بیدوام و کمدوام خانه,25295824,35489609
4- بهداشت و درمان,110549896,166696382
دارو، لوازم و مواد طبی و درمانی,37981580,55546454
خدمات پزشکی، دندانپزشکی و پیراپزشکی و هزینههای بیمارستانی,72568316,111149928
5- حمل و نقل,211834471,334208126
خرید وسایل نقلیه شخصی,115044420,192831731
تعمیرات و سوخت وسایل نقلیه شخصی,63313144,90330267
هزینههای رفت و آمد و حمل و نقل کالا,33476907,51046128
6- ارتباطات,37250532,51086257
7- تفریح و امور فرهنگی,24242574,42993821
8- تحصیل,18979261,28669117
9- رستوران و هتل,48222099,82860148
غذاها و خوراکیهای آماده و آشامیدنیها,47324154,80402974
هزینه هتل و مسافرخانه (بدون تور),897945,2457174
10- کالاها و خدمات متفرقه,144356478,220722702
لوازم بهداشتی و آرایشی و خدمات شخصی,49276524,75313754
لوازم شخصی و زینتی و هزینههای متفرقه شخصی,17954072,34129587
خدمات اجتماعی,1499637,2455563
انواع بیمه,40928962,58260991
خدمات مالی,23524755,32438885
سایر کالاها و خدمات متفرقه,11172528,18123922
