سال,کل,کمتر از 1 سال,1 تا 5 سال,6 تا 10 سال,11 تا 15 سال,16 تا 20 سال,21 تا 30 سال,31 تا 40 سال,41 تا 50 سال,51 تا 60 سال,61 تا 70 سال,71 سال و بیشتر
1393,100,06,64,63,68,76,202,162,137,111,66,45
1394,100,06,61,62,63,74,191,161,135,121,74,52
1395,100,06,67,65,62,67,181,175,134,117,75,51
1396,100,06,66,64,63,68,168,178,133,118,81,55
1397,100,05,63,63,62,65,159,175,134,123,91,6
1398,100,04,61,64,65,65,151,173,135,126,96,6
1399,100,03,55,63,65,66,14,175,136,13,101,66
1400,100,03,51,66,65,66,133,17,142,13,106,68
1401,100,04,5,68,68,65,131,171,144,129,103,67
1402,100,04,47,68,71,66,127,167,151,133,103,63
