سال,13930,13940,13950,13960,13970,13980,13990,14000,14010,14020
جمع کل هزینه ناخالص,156,73,114,72,239,287,383,522,624,483
1- خوراکیها و آشامیدنیها,81,31,80,102,331,286,530,587,716,440
2- دخانیات,-14,-36,193,41,679,231,294,584,569,444
3- پوشاک و کفش,159,43,64,51,30,79,317,844,857,481
4- مسکن، آب، برق، گاز و سایر سوخت ها,132,124,129,71,310,369,379,438,516,469
5- لوازم، اثاث و خدمات مورد استفاده در خانه,141,69,85,70,184,266,562,434,613,456
6- بهداشت و درمان,188,80,127,45,175,168,357,709,435,508
7- حمل ونقل,401,59,161,67,58,260,232,588,818,578
8- ارتباطات,199,-01,76,35,79,233,619,315,286,371
9- تفریح و امور فرهنگی,207,-58,162,64,149,145,-202,652,1163,773
10- تحصیل,236,57,126,35,41,81,74,215,701,511
11- رستوران و هتل,119,130,130,75,156,261,-197,1126,1153,718
12- کالاها و خدمات متفرقه,197,69,119,52,191,209,289,461,538,529
