سال,کل,بتون آرمه,اسکلت فلزی,بلوک سیمانی,آجری با تیرچه بلوک,آجری با تیرآهن,آجری با تیر چوبی,خشت و گل و چوب و سایر
1393,100,17.2,23.9,3.1,7.1,43.3,3.4,2
1394,100,17.3,22.7,2.9,6.6,44.8,3.5,2.2
1395,100,23.4,23.5,2.1,7.2,39.3,3,1.5
1396,100,23.4,23.5,2.3,7.7,38.7,2.5,1.9
1397,100,24.5,22.6,2.3,8.3,38.2,2.5,1.6
1398,100,24.9,22.2,2.5,8.5,37.6,2.7,1.6
1399,100,25.4,23.1,2.2,9,36.5,2.4,1.4
1400,100,24.2,23.8,2.1,9.5,36.4,2.5,1.5
1401,100,25.6,25.5,2,9.3,34,2.2,1.4
1402,100,25.7,25.5,1.9,9.4,34.4,1.9,1.2
