سال,اتوموبیل شخصی,موتورسیکلت,دوچرخه (از نمره ۱۶ به بالا),چرخ خیاطی,رادیو، رادیو ضبط و ضبط صوت,تلویزیون,ویدیو و دستگاه پخش لوح فشرده,رایانه,دوربین فیلمبرداری,یخچال، فریزر و یخچال فریزر,اجاق گاز,جاروبرقی,ماشین لباسشویی,تلفن همراه
1393,45.8,17.2,13.7,54.8,36.2,99.2,51.2,48.3,13.2,99.7,99.5,92.8,85.5,95.2
1394,46.9,17.4,13.4,53.3,31.5,99.3,46,46.6,11.6,99.7,99.5,93.1,86.5,95.3
1395,48.6,17.2,13,48.6,26.6,99.5,42.6,45.3,10.3,99.8,99.6,94.1,87.8,96.3
1396,49.4,16,13.1,49.2,25.5,99.3,41.6,44.6,9.4,99.6,99.7,94.2,88.6,96.6
1397,50.5,15.8,13.7,48.8,23.5,99.2,35.9,41.6,7.2,99.8,99.8,94.6,89.4,96.9
1398,50.7,15.8,14.1,46.4,21.1,99.2,29.8,39,5.7,99.8,99.8,94.1,89,97
1399,51.5,15.5,15.1,45.3,18.7,99.2,24.3,39.4,4.4,99.8,99.8,95,89.8,97.6
1400,52.2,16.8,14.2,42.6,15.8,99.3,18.7,37.9,3.6,99.8,99.8,94.5,90.2,98.1
1401,55.2,16.7,14.3,42.5,14.3,99,14,36.3,3,99.7,99.9,94.6,91.3,98.9
1402,56.4,17.3,15.3,45,12.7,98.9,10.8,35.3,2.9,99.8,99.9,95.7,92.6,99.2
