سال,13930,13940,13950,13960,13970,13980,13990,14000,14010,14020
جمع کل هزینه خالص,156,79,115,72,237,284,376,528,611,481
1- خوراکیها و آشامیدنیها,81,31,80,102,331,286,530,587,716,440
2- دخانیات,-14,-36,193,41,679,231,294,584,569,444
3- پوشاک و کفش,159,43,64,51,30,79,316,845,857,481
4- مسکن، آب، برق، گاز و سایر سوخت ها,132,124,129,71,310,369,379,438,516,469
5- لوازم، اثاث و خدمات مورد استفاده در خانه,147,68,84,72,182,269,560,433,616,452
6- بهداشت و درمان,188,80,127,45,175,168,357,709,435,508
7- حمل ونقل,396,110,179,61,37,204,143,642,715,617
8- ارتباطات,199,-06,83,35,75,228,611,321,283,370
9- تفریح و امور فرهنگی,209,-48,151,62,144,147,-203,654,1166,774
10- تحصیل,236,57,126,35,41,80,74,215,701,511
11- رستوران و هتل,119,130,131,75,156,261,-197,1126,1153,718
12- کالاها و خدمات متفرقه,285,86,126,57,138,210,216,523,497,513
