گروه های هزینه,1401,1402
خوراکیها، آشامیدنیها و دخانیات,716022092,1030794984
خوراکیها و آشامیدنیها,706797779,1017472408
1- آرد، رشته و غلات,69718037,81596352
برنج، آرد و رشته,67045068,77236666
سایر غلات و فرآورده های آن,2672969,4359686
2- انواع نان و بیسکویت,33016342,38197271
انواع نان,16304624,20141585
بیسکویت ، کیک و کلوچه,16711718,18055686
3- انواع گوشت,155133454,264403946
گوشت دام,84249127,143266758
گوشت پرندگان,54590710,92239160
کله پاچه و سایر قطعات گوشت حیوانات و پرندگان,1295084,2147108
فرآورده های گوشت دام و پرندگان,3879956,6610788
انواع ماهی,8281850,14424695
حیوانات دریایی و فرآوردههای آن,2836727,5715437
4- شیر و فرآوردههای آن و تخم پرندگان,95976139,128898283
انواع شیر,19188631,24926956
فرآوردههای شیر,55947530,73507754
تخم پرندگان,20839978,30463573
5- روغنها و چربیها,32327986,38648573
انواع کره,8103127,11287097
روغنهای نباتی,22633841,25234665
روغنها و چربیهای حیوانی,1591018,2126811
6- میوههای تازه,115719846,170279887
میوههای درختی (بجز مرکبات),67405705,101079211
مرکبات,30537543,41358243
میوههای جالیزی,17776598,27842433
7- سبزیهای تازه,89194959,120892507
انواع سبزی های برگی,16043130,24800206
انواع سبزی های بوته ای و حبوبی تازه,43534427,63845788
انواع سبزی های ریشه ای و سایر و سبزیجات خشک و منجمد,29617402,32246513
8- خشکبار و آجیل,23335720,37227435
9- حبوب,18721317,23463504
10- انواع کنسرو، فرآوردههای سبزی و چیپس,11652805,16029728
11- قند و شکر,6277076,8601193
12- انواع شیرینی و مربا,20286351,33630481
13- انواع ادویه، سسها و سایر ترکیبات خوراکی,10073972,15756051
14- چای، قهوه و کاکایو,8992446,13614944
15- نوشابه، آبمیوه و شربت,16308345,26164553
16-خدمات آماده سازی اولیه مواد غذایی,62984,67700
دخانیات,9224313,13322576
