سال,14010,14020
غیرخوراک,15810482210,23746277650
1- پوشاک و کفش,891060560,1319287800
پوشاک,703455190,1029151210
انواع کفش و تعمیرات آن,187605370,290136590
2- مسکن، آب، برق، گاز و سایر سوخت ها,8050001540,11822334540
اجارهبها و ارزش اجاری مسکن,7802336620,11492203010
تعمیرات و خدمات مسکن,41562760,63505270
آب و خدمات متفرقه مسکن,78916730,107483090
برق، گاز و سایر سوختها,127185430,159143170
3- لوازم، اثاث و خدمات مورد استفاده در خانه,915067000,1332289780
مبلمان، اثاث، فرش و انواع کفپوش,225417880,331006080
منسوجات مورد استفاده در خانه,37809230,57230150
وسایل برقی، پختوپز، حرارتی و وسایلعمده مورد استفاده در خانه,253858060,378011530
ظروف، لوازم آشپزخانه و سایر لوازم خانه,107143630,158299710
ابزار و وسایل برای خانه و باغچه,37879960,52846220
کالاها و لوازم مصرفی بیدوام و کمدوام خانه,252958240,354896090
4- بهداشت و درمان,1105498960,1666963820
دارو، لوازم و مواد طبی و درمانی,379815800,555464540
خدمات پزشکی، دندانپزشکی و پیراپزشکی و هزینههای بیمارستانی,725683160,1111499280
5- حمل و نقل,2118344710,3342081260
خرید وسایل نقلیه شخصی,1150444200,1928317310
تعمیرات و سوخت وسایل نقلیه شخصی,633131440,903302670
هزینههای رفت و آمد و حمل و نقل کالا,334769070,510461280
6- ارتباطات,372505320,510862570
7- تفریح و امور فرهنگی,242425740,429938210
8- تحصیل,189792610,286691170
9- رستوران و هتل,482220990,828601480
غذاها و خوراکیهای آماده و آشامیدنیها,473241540,804029740
هزینه هتل و مسافرخانه (بدون تور),8979450,24571740
10- کالاها و خدمات متفرقه,1443564780,2207227020
لوازم بهداشتی و آرایشی و خدمات شخصی,492765240,753137540
لوازم شخصی و زینتی و هزینههای متفرقه شخصی,179540720,341295870
خدمات اجتماعی,14996370,24555630
انواع بیمه,409289620,582609910
خدمات مالی,235247550,324388850
سایر کالاها و خدمات متفرقه,111725280,181239220
