سال,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403
جمع کل هزینه خالص,7.9,11.5,7.2,23.7,28.4,37.6,52.8,61.1,48.1,38
1- خوراکیها و آشامیدنیها,3.1,8,10.2,33.1,28.6,53,58.7,71.6,44,36.9
2- دخانیات,-3.6,19.3,4.1,67.9,23.1,29.4,58.4,56.9,44.4,28.7
3- پوشاک و کفش,4.3,6.4,5.1,3,7.9,31.6,84.5,85.7,48.1,34.7
4- مسکن، آب، برق، گاز و سایر سوخت ها,12.4,12.9,7.1,31,36.9,37.9,43.8,51.6,46.9,36.3
5- لوازم، اثاث و خدمات مورد استفاده در خانه,6.8,8.4,7.2,18.2,26.9,56,43.3,61.6,45.2,29.4
6- بهداشت و درمان,8,12.7,4.5,17.5,16.8,35.7,70.9,43.5,50.8,40.7
7- حمل ونقل,11,17.9,6.1,3.7,20.4,14.3,64.2,71.5,61.7,46.9
8- ارتباطات,-0.6,8.3,3.5,7.5,22.8,61.1,32.1,28.3,37,29.2
9- تفریح و امور فرهنگی,-4.8,15.1,6.2,14.4,14.7,-20.3,65.4,116.6,77.4,57.5
10- تحصیل,5.7,12.6,3.5,4.1,8,7.4,21.5,70.1,51.1,48.8
11- رستوران و هتل,13,13.1,7.5,15.6,26.1,-19.7,112.6,115.3,71.8,45.4
12- کالاها و خدمات متفرقه,8.6,12.6,5.7,13.8,21,21.6,52.3,49.7,51.3,42.4
