سال,کل,کشاورزی، دامپروری، شکار، جنگلداری و ماهیگیری,صنعت و معدن,برق، گاز و آب,ساختمان,عمده فروشی، خرده فروشی، هتلداری و رستوران,حمل و نقل، انبارداری و ارتباطات,خدمات مالی، بیمه، ملکی، حقوقی و تجاری,خدماتعمومی، اجتماعی و شخصی
1394,100,4.3,18.4,0.8,13.8,22.2,11.8,7,21.7
1395,100,3.9,18.2,0.9,13.4,22.8,12,7.5,21.3
1396,100,3.8,18.2,0.7,14.1,22.2,12.4,7.6,21
1397,100,4.3,17.4,0.6,13.8,22.9,12.6,7.8,20.6
1398,100,4.3,17.8,0.8,14.3,22.7,12.2,7.3,20.6
1399,100,4.6,18.1,0.6,14.8,23.1,11.6,7.5,19.7
1400,100,4.3,17.9,0.7,14.5,23.8,12.3,7.5,19
1401,100,4.1,17.9,0.7,13.4,23.6,11.8,8.1,20.4
1402,100,3.8,18.5,0.6,12.9,24.9,12.2,7.7,19.4
1403,100,3.9,17.8,0.6,12.2,25.2,11.9,7.8,20.6
