سال,آب لوله کشی,برق,گاز شهری,سیستم فاضلاب شهری,آشپزخانه,حمام,کولر ثابت (آبی یا گازی),شوفاژ یا پکیج (شوفاژ دیواری,انباری,تلفن,اینترنت,عضویت در شبکه های اجتماعی
1394,99.6,100,93.8,46.5,98.6,99.6,80.5,13.4,41.1,78.6,37.9,-
1395,99.4,100,94.4,51.7,98.9,99.7,80.9,19.4,44,77.1,50.5,-
1396,99.4,100,94.5,53.3,99.2,99.6,82.6,19.3,45,74.9,64.1,61.6
1397,99.5,100,95.2,56,99.2,99.8,84.6,20.3,46.1,72.7,67.6,66.6
1398,99.6,100,95.1,56.4,99.3,99.8,85.1,19.6,44.5,70.8,71.7,70.7
1399,99.6,100,95.5,59,99.4,99.8,83.4,21.3,44.7,71.1,79.2,78.5
1400,99.5,100,95.6,63.4,99.3,99.9,85.1,22.1,43.8,68.9,82.9,82.6
1401,99.5,100,95.8,65.4,99.4,99.9,84.8,24,44.3,64.1,85.7,85.5
1402,99.6,100,96.7,66.1,99.4,99.9,84.8,24.5,44.1,61.4,87,86.8
1403,99.5,100,97.2,67.6,99.7,99.9,84.7,25.4,45.4,60.1,88,87.7
