Report_Year,Year,Rice,Bread,Red_Meat,Poultry_Meat,Marine_Animals,Milk,Yogurt,Cheese,Egg,Vegetable_Oil,Sugar_Cube,Sugar,Tea,Iranian_Cigarette,Foreign_Cigarette,Meat_Products,Fish
1380,1371,205.0,709.0,95.0,60.0,16.0,147.0,143.0,24.0,41.0,51.0,54.0,30.0,8.0,982.0,702.0,,
1380,1372,201.0,701.0,85.0,71.0,14.0,143.0,138.0,23.0,45.0,54.0,54.0,31.0,8.0,823.0,859.0,,
1380,1373,177.0,714.0,86.0,64.0,12.0,138.0,143.0,24.0,46.0,49.0,50.0,28.0,7.0,733.0,861.0,,
1380,1374,168.0,702.0,76.0,65.0,12.0,140.0,130.0,23.0,46.0,50.0,49.0,26.0,7.0,681.0,815.0,,
1380,1375,176.0,691.0,77.0,71.0,13.0,135.0,127.0,24.0,46.0,50.0,48.0,25.0,7.0,629.0,856.0,,
1380,1376,186.0,654.0,78.0,70.0,12.0,141.0,121.0,22.0,41.0,50.0,41.0,22.0,7.0,607.0,818.0,,
1380,1377,166.0,631.0,72.0,68.0,13.0,136.0,113.0,23.0,42.0,51.0,42.0,22.0,6.0,739.0,650.0,,
1380,1378,179.0,640.0,70.0,67.0,14.0,148.0,116.0,25.0,42.0,50.0,37.0,23.0,6.0,829.0,549.0,,
1380,1379,183.0,626.0,69.0,70.0,15.0,157.0,117.0,25.0,45.0,53.0,38.0,23.0,6.0,865.0,578.0,,
1380,1380,179.0,610.0,67.0,80.0,16.0,153.0,119.0,26.0,45.0,55.0,40.0,24.0,6.0,667.0,785.0,,
1390,1381,182.0,574.0,63.0,82.0,,171.0,127.0,26.0,44.0,53.0,37.0,24.0,7.0,685.0,722.0,,18.0
1390,1382,180.0,551.0,59.0,92.0,,194.0,117.0,24.0,43.0,52.0,36.0,20.0,6.0,722.0,662.0,,18.0
1390,1383,180.0,506.0,60.0,87.0,,211.0,95.0,26.0,40.0,50.0,34.0,20.0,6.0,663.0,688.0,,20.0
1390,1384,175.0,485.0,59.0,88.0,,216.0,92.0,25.0,39.0,48.0,32.0,20.0,5.0,626.0,772.0,,20.0
1390,1385,168.0,486.0,64.0,91.0,,215.0,88.0,26.0,37.0,46.0,30.0,19.0,5.0,578.0,717.0,,19.0
1390,1386,174.0,458.0,57.0,96.0,4.0,206.0,86.0,26.0,39.0,47.0,29.0,17.0,6.0,521.0,800.0,6.0,20.0
1390,1387,146.0,445.0,56.0,90.0,3.0,215.0,75.0,25.0,38.0,44.0,27.0,15.0,5.0,504.0,749.0,5.0,16.0
1390,1388,154.0,425.0,48.0,95.0,3.0,232.0,68.0,24.0,39.0,44.0,27.0,16.0,5.0,547.0,702.0,5.0,16.0
1390,1389,159.0,395.0,47.0,93.0,3.0,234.0,64.0,23.0,41.0,45.0,27.0,14.0,5.0,518.0,629.0,4.0,17.0
1390,1390,147.0,356.0,48.0,91.0,3.0,166.0,84.0,25.0,35.0,43.0,24.0,12.0,5.0,490.0,611.0,4.0,15.0
1400,1391,131.0,347.0,41.0,88.0,2.0,134.0,86.0,24.0,36.0,39.0,22.0,11.0,4.0,474.0,546.0,3.0,13.0
1400,1392,119.0,350.0,40.0,84.0,2.0,138.0,82.0,23.0,36.0,37.0,22.0,11.0,4.0,423.0,521.0,3.0,13.0
1400,1393,120.0,343.0,41.0,89.0,2.0,134.0,80.0,23.0,36.0,37.0,21.0,10.0,4.0,364.0,555.0,3.0,12.0
1400,1394,116.0,328.0,40.0,90.0,2.0,131.0,79.0,22.0,36.0,36.0,18.0,10.0,4.0,342.0,526.0,2.0,11.0
