Report_Year,Year,Gross_Expenditure_Total,Gross_Expenditure_SNA_1,Gross_Expenditure_SNA_1.1,Gross_Expenditure_SNA_1.2,Gross_Expenditure_SNA_2,Gross_Expenditure_SNA_3,Gross_Expenditure_SNA_4,Gross_Expenditure_SNA_5,Gross_Expenditure_SNA_6,Gross_Expenditure_SNA_6.1,Gross_Expenditure_SNA_6.2,Gross_Expenditure_SNA_7,Gross_Expenditure_SNA_7.1,Gross_Expenditure_SNA_7.2,Gross_Expenditure_SNA_8,Gross_Expenditure_COICOP1999_01,Gross_Expenditure_COICOP1999_02,Gross_Expenditure_COICOP1999_03,Gross_Expenditure_COICOP1999_04,Gross_Expenditure_COICOP1999_05,Gross_Expenditure_COICOP1999_06,Gross_Expenditure_COICOP1999_07,Gross_Expenditure_COICOP1999_08,Gross_Expenditure_COICOP1999_09,Gross_Expenditure_COICOP1999_10,Gross_Expenditure_COICOP1999_11,Gross_Expenditure_COICOP1999_12,Gross_Expenditure_COICOP2018_01,Gross_Expenditure_COICOP2018_02,Gross_Expenditure_COICOP2018_03,Gross_Expenditure_COICOP2018_04,Gross_Expenditure_COICOP2018_05,Gross_Expenditure_COICOP2018_06,Gross_Expenditure_COICOP2018_07,Gross_Expenditure_COICOP2018_08,Gross_Expenditure_COICOP2018_09,Gross_Expenditure_COICOP2018_10,Gross_Expenditure_COICOP2018_11,Gross_Expenditure_COICOP2018_12
1380,1371,5214226.0,1793737.0,1735588.0,58149.0,503148.0,1469608.0,353456.0,203286.0,435662.0,407000.0,28662.0,119465.0,76888.0,42577.0,335864.0,,,,,,,,,,,,,,,,,,,,,,,,
1380,1372,6376620.0,2147058.0,2087290.0,59768.0,552798.0,1777622.0,430861.0,321261.0,552357.0,512197.0,40160.0,163588.0,88387.0,75201.0,431075.0,,,,,,,,,,,,,,,,,,,,,,,,
1380,1373,8138244.0,2764713.0,2678432.0,86281.0,684804.0,2152433.0,536843.0,405610.0,811160.0,746879.0,64281.0,205650.0,95181.0,110469.0,577031.0,,,,,,,,,,,,,,,,,,,,,,,,
1380,1374,10905688.0,3965613.0,3849485.0,116128.0,1036576.0,2759104.0,670705.0,454147.0,983048.0,894257.0,88791.0,259674.0,108702.0,150972.0,776821.0,,,,,,,,,,,,,,,,,,,,,,,,
1380,1375,13612602.0,4660444.0,4528662.0,131782.0,1290681.0,3724625.0,842304.0,562047.0,1179983.0,1062361.0,117622.0,368073.0,150802.0,217271.0,984445.0,,,,,,,,,,,,,,,,,,,,,,,,
1380,1376,17167187.0,5306871.0,5168647.0,138224.0,1565359.0,4534299.0,1174632.0,744750.0,1914119.0,1778183.0,135936.0,570180.0,274296.0,295884.0,1356977.0,,,,,,,,,,,,,,,,,,,,,,,,
1380,1377,20630996.0,6444447.0,6287515.0,156932.0,1598756.0,5623710.0,1307868.0,903670.0,2488459.0,2312592.0,175867.0,678200.0,315003.0,363197.0,1585886.0,,,,,,,,,,,,,,,,,,,,,,,,
1380,1378,25271337.0,7696251.0,7508710.0,187541.0,1891582.0,6727263.0,1571781.0,1156669.0,3368418.0,3127691.0,240727.0,824368.0,377358.0,447010.0,2035005.0,,,,,,,,,,,,,,,,,,,,,,,,
1380,1379,30253120.0,9048315.0,8856352.0,191963.0,2165698.0,7855376.0,1940629.0,1299932.0,4217310.0,3914978.0,302332.0,1118864.0,544640.0,574224.0,2606996.0,,,,,,,,,,,,,,,,,,,,,,,,
1380,1380,35037726.0,10067005.0,9851794.0,215211.0,2407093.0,9377318.0,2201868.0,1698061.0,4803184.0,4323302.0,479882.0,1410224.0,683346.0,726878.0,3072973.0,,,,,,,,,,,,,,,,,,,,,,,,
