Report_Year,Year,Total,Food_and_Beverages
1380,1371,5214226.0,1735588.0
1380,1372,6376620.0,2087290.0
1380,1373,8138244.0,2678432.0
1380,1374,10905688.0,3849485.0
1380,1375,13612602.0,4528662.0
1380,1376,17167187.0,5168647.0
1380,1377,20630996.0,6287515.0
1380,1378,25271337.0,7508710.0
1380,1379,30253120.0,8856352.0
1380,1380,35037726.0,9851794.0
1390,1381,42696688.0,11297932.0
1390,1382,48350184.0,12710416.0
1390,1383,59048828.0,14979918.0
1390,1384,67029089.0,15915130.0
1390,1385,77703979.0,18586526.0
1390,1386,98816925.0,23144319.0
1390,1387,115445398.0,27475237.0
1390,1388,127139134.0,30168256.0
1390,1389,141661774.0,35213301.0
1390,1390,173925938.0,43266836.0
1400,1391,216539613.0,56841253.0
1400,1392,284462336.0,74723610.0
1400,1393,328759975.0,80806786.0
1400,1394,352650751.0,83276315.0
1400,1395,393005874.0,89975597.0
1400,1396,421308525.0,99130268.0
1400,1397,521930268.0,131953936.0
1400,1398,671842795.0,169665228.0
1400,1399,929411537.0,259663866.0
1400,1400,1414845174.0,411975439.0
1402,1393,328759975.0,80806786.0
1402,1394,352650751.0,83276315.0
1402,1395,393005874.0,89975597.0
1402,1396,421308525.0,99130268.0
1402,1397,521930268.0,131953936.0
1402,1398,671842795.0,169665228.0
1402,1399,929411537.0,259663866.0
1402,1400,1414845174.0,411975439.0
1402,1401,2297070313.0,706797779.0
1402,1402,3405422749.0,1017472408.0
