Report_Year,Year,Total,Food_and_Beverages
1380,1371,100.0,33.28563050393289
1380,1372,100.0,32.73348576518595
1380,1373,100.0,32.911669888491915
1380,1374,100.0,35.297956442546315
1380,1375,100.0,33.26815843142993
1380,1376,100.0,30.107710715797527
1380,1377,100.0,30.476061359325552
1380,1378,100.0,29.712357521883387
1380,1379,100.0,29.274177341047796
1380,1380,100.0,28.117675216707845
1390,1381,100.0,26.460909567505563
1390,1382,100.0,26.28824742424972
1390,1383,100.0,25.36869656413841
1390,1384,100.0,23.74361674526115
1390,1385,100.0,23.919657962432016
1390,1386,100.0,23.421411868462815
1390,1387,100.0,23.799334989515998
1390,1388,100.0,23.72853664395732
1390,1389,100.0,24.85730624833203
1390,1390,100.0,24.87658626282642
1400,1391,100.0,26.249817394843134
1400,1392,100.0,26.268366860349484
1400,1393,100.0,24.57926516146012
1400,1394,100.0,23.614387538905312
1400,1395,100.0,22.89421175419887
1400,1396,100.0,23.529138889368546
1400,1397,100.0,25.281909115108075
1400,1398,100.0,25.25370953780936
1400,1399,100.0,27.938524072786496
1400,1400,100.0,29.11805804413763
1402,1393,100.0,24.57926516146012
1402,1394,100.0,23.614387538905312
1402,1395,100.0,22.89421175419887
1402,1396,100.0,23.529138889368546
1402,1397,100.0,25.281909115108075
1402,1398,100.0,25.25370953780936
1402,1399,100.0,27.938524072786496
1402,1400,100.0,29.11805804413763
1402,1401,100.0,30.769531737881984
1402,1402,100.0,29.878005845200278
