Report_Year,Year,Total,Employed,Unemployed,Income_without_Work,Student,Housekeeper,Other
1380,1371,100.0,29.2,2.1,3.3,37.2,23.6,4.6
1380,1372,100.0,28.9,2.3,3.6,37.2,23.8,4.2
1380,1373,100.0,28.5,1.9,4.1,38.5,22.7,4.3
1380,1374,100.0,28.5,2.8,4.1,37.6,23.1,3.9
1380,1375,100.0,26.7,3.8,4.7,37.5,23.3,4.0
1380,1376,100.0,27.2,4.1,4.5,36.9,23.4,4.0
1380,1377,100.0,27.7,4.1,4.3,36.6,23.2,4.1
1380,1378,100.0,28.0,4.6,4.5,35.6,23.2,4.1
1380,1379,100.0,28.6,4.4,4.9,34.3,23.2,4.6
1380,1380,100.0,29.1,4.5,5.4,32.7,23.5,4.8
1390,1381,100.0,29.7,4.3,5.8,31.2,24.1,4.9
1390,1382,100.0,30.0,4.5,6.2,29.1,24.8,5.4
1390,1383,100.0,31.1,4.3,5.9,28.5,24.8,5.4
1390,1384,100.0,31.8,3.9,6.2,27.4,25.2,5.5
1390,1385,100.0,31.4,3.8,6.8,27.6,25.2,5.2
1390,1386,100.0,31.5,3.5,7.4,26.6,25.8,5.2
1390,1387,100.0,31.3,3.7,8.1,26.3,25.5,5.1
1390,1388,100.0,29.8,3.9,9.4,25.4,26.3,5.2
1390,1389,100.0,30.5,4.0,9.7,24.3,26.5,5.0
1390,1390,100.0,31.4,4.0,9.1,24.0,27.2,4.3
1400,1391,100.0,31.1,4.0,9.8,23.4,27.4,4.3
1400,1392,100.0,30.6,4.1,10.4,23.2,27.4,4.3
1400,1393,100.0,30.6,4.1,10.8,22.8,27.6,4.1
1400,1394,100.0,30.1,4.6,11.7,21.6,27.7,4.3
1400,1395,100.0,30.2,4.6,12.1,21.1,28.0,4.0
1400,1396,100.0,30.2,5.0,13.0,20.3,27.5,4.0
1400,1397,100.0,30.0,4.9,13.8,19.8,27.7,3.8
1400,1398,100.0,29.8,4.6,14.3,20.0,27.5,3.8
1400,1399,100.0,28.8,5.0,15.0,19.9,27.4,3.9
1400,1400,100.0,29.7,4.1,15.3,19.6,27.1,4.2
1402,1393,100.0,30.6,4.1,10.8,22.8,27.6,4.1
1402,1394,100.0,30.1,4.6,11.7,21.6,27.7,4.3
1402,1395,100.0,30.2,4.6,12.1,21.1,28.0,4.0
1402,1396,100.0,30.2,5.0,13.0,20.3,27.5,4.0
1402,1397,100.0,30.0,4.9,13.8,19.8,27.7,3.8
1402,1398,100.0,29.8,4.6,14.3,20.0,27.5,3.8
1402,1399,100.0,28.8,5.0,15.0,19.9,27.4,3.9
1402,1400,100.0,29.7,4.1,15.3,19.6,27.1,4.2
1402,1401,100.0,31.0,3.8,14.6,20.0,26.6,4.0
1402,1402,100.0,32.0,3.6,14.5,20.1,26.2,3.6
1403,1394,100.0,30.1,4.6,11.7,21.6,27.7,4.3
1403,1395,100.0,30.2,4.6,12.1,21.1,28.0,4.0
1403,1396,100.0,30.2,5.0,13.0,20.3,27.5,4.0
1403,1397,100.0,30.0,4.9,13.8,19.8,27.7,3.8
1403,1398,100.0,29.8,4.6,14.3,20.0,27.5,3.8
1403,1399,100.0,28.8,5.0,15.0,19.9,27.4,3.9
1403,1400,100.0,29.7,4.1,15.3,19.6,27.1,4.2
1403,1401,100.0,31.0,3.8,14.6,20.0,26.6,4.0
1403,1402,100.0,32.0,3.6,14.5,20.1,26.2,3.6
1403,1403,100.0,32.4,3.2,15.5,19.6,25.9,3.4
