Report_Year,Year,Total,Household_Size_1,Household_Size_2,Household_Size_3,Household_Size_4,Household_Size_5,Household_Size_6,Household_Size_7,Household_Size_8,Household_Size_9,Household_Size_10_plus
1380,1371,100.0,4.4,9.4,12.7,18.6,17.3,15.1,10.0,6.4,3.5,2.6
1380,1372,100.0,4.1,9.9,13.1,17.9,18.2,14.9,9.5,5.6,3.5,3.3
1380,1373,100.0,4.0,10.4,13.3,18.1,17.6,15.6,9.4,6.1,3.3,2.2
1380,1374,100.0,4.3,10.4,14.9,18.8,18.0,13.4,9.4,5.1,3.1,2.6
1380,1375,100.0,4.3,11.1,14.7,17.9,18.2,13.8,9.0,5.3,3.6,2.1
1380,1376,100.0,4.2,11.6,16.7,19.2,17.8,13.3,8.1,4.7,2.4,2.0
1380,1377,100.0,3.9,9.6,15.9,22.3,19.5,13.2,7.3,4.5,2.0,1.8
1380,1378,100.0,4.2,10.9,16.6,22.3,17.3,12.1,7.9,4.3,2.4,2.0
1380,1379,100.0,4.5,11.0,16.1,21.1,18.5,12.2,7.9,4.5,2.3,1.9
1380,1380,100.0,4.5,10.3,16.7,21.9,18.6,12.8,7.4,3.7,2.1,2.0
1390,1381,100.0,4.2,10.6,17.3,24.5,17.9,11.8,7.0,3.5,1.7,1.5
1390,1382,100.0,4.4,12.0,17.8,22.8,18.5,11.6,6.8,3.2,1.4,1.5
1390,1383,100.0,4.6,12.2,20.6,26.1,17.2,9.8,5.0,2.5,1.1,0.9
1390,1384,100.0,4.5,12.3,20.8,26.7,17.8,9.3,4.7,2.2,1.0,0.7
1390,1385,100.0,5.0,12.0,21.6,27.1,16.9,9.3,4.2,2.2,1.0,0.7
1390,1386,100.0,5.0,12.7,21.9,28.6,16.8,8.4,3.7,1.6,0.8,0.5
1390,1387,100.0,5.3,13.8,22.8,28.4,16.1,7.8,3.2,1.6,0.6,0.4
1390,1388,100.0,5.8,15.2,23.7,27.8,15.4,6.9,3.0,1.3,0.5,0.4
1390,1389,100.0,6.6,14.3,24.3,28.8,15.3,6.4,2.6,1.0,0.4,0.3
1390,1390,100.0,5.7,17.5,27.8,28.2,12.8,4.8,2.0,0.6,0.3,0.3
1400,1391,100.0,6.4,17.9,28.0,28.8,12.0,4.3,1.6,0.5,0.3,0.2
1400,1392,100.0,6.0,18.0,27.4,29.8,12.3,4.0,1.6,0.4,0.3,0.2
1400,1393,100.0,6.4,18.2,27.6,30.1,11.5,3.8,1.4,0.6,0.2,0.2
1400,1394,100.0,6.9,19.1,28.1,29.0,11.4,3.7,1.2,0.4,0.1,0.1
1400,1395,100.0,6.7,20.1,28.6,29.4,10.9,2.8,0.9,0.3,0.2,0.1
1400,1396,100.0,7.6,20.5,28.5,28.9,10.5,2.7,0.9,0.2,0.1,0.1
1400,1397,100.0,8.0,22.0,27.8,28.1,10.1,2.5,1.0,0.3,0.1,0.1
1400,1398,100.0,7.9,22.0,27.7,28.3,10.2,2.7,0.8,0.2,0.1,0.1
1400,1399,100.0,8.4,22.4,28.2,27.8,9.5,2.4,0.8,0.3,0.1,0.1
1400,1400,100.0,8.2,23.0,27.7,27.2,10.1,2.6,0.7,0.3,0.1,0.1
1402,1393,100.0,6.4,18.2,27.6,30.1,11.5,3.8,1.4,0.6,0.2,0.2
1402,1394,100.0,6.9,19.1,28.1,29.0,11.4,3.7,1.2,0.4,0.1,0.1
1402,1395,100.0,6.7,20.1,28.6,29.4,10.9,2.8,0.9,0.3,0.2,0.1
1402,1396,100.0,7.6,20.5,28.5,28.9,10.5,2.7,0.9,0.2,0.1,0.1
1402,1397,100.0,8.0,22.0,27.8,28.1,10.1,2.5,1.0,0.3,0.1,0.1
1402,1398,100.0,7.9,22.0,27.7,28.3,10.2,2.7,0.8,0.2,0.1,0.1
1402,1399,100.0,8.4,22.4,28.2,27.8,9.5,2.4,0.8,0.3,0.1,0.1
1402,1400,100.0,8.2,23.0,27.7,27.2,10.1,2.6,0.7,0.3,0.1,0.1
1402,1401,100.0,6.6,22.3,28.4,28.7,10.1,2.4,0.9,0.3,0.2,0.1
1402,1402,100.0,6.1,22.9,28.3,28.2,10.1,2.8,1.0,0.3,0.2,0.1
1403,1394,100.0,6.9,19.1,28.1,29.0,11.4,3.7,1.2,0.4,0.1,0.1
1403,1395,100.0,6.7,20.1,28.6,29.4,10.9,2.8,0.9,0.3,0.2,0.1
1403,1396,100.0,7.6,20.5,28.5,28.9,10.5,2.7,0.9,0.2,0.1,0.1
1403,1397,100.0,8.0,22.0,27.8,28.1,10.1,2.5,1.0,0.3,0.1,0.1
1403,1398,100.0,7.9,22.0,27.7,28.3,10.2,2.7,0.8,0.2,0.1,0.1
1403,1399,100.0,8.4,22.4,28.2,27.8,9.5,2.4,0.8,0.3,0.1,0.1
1403,1400,100.0,8.2,23.0,27.7,27.2,10.1,2.6,0.7,0.3,0.1,0.1
1403,1401,100.0,6.6,22.3,28.4,28.7,10.1,2.4,0.9,0.3,0.2,0.1
1403,1402,100.0,6.1,22.9,28.3,28.2,10.1,2.8,1.0,0.3,0.2,0.1
1403,1403,100.0,6.6,24.3,28.9,27.6,8.9,2.4,0.7,0.4,0.1,0.1
