Report_Year,Year,Total,Employed_0,Employed_1,Employed_2,Employed_3_plus
1380,1371,100.0,10.0,61.0,21.3,7.7
1380,1372,100.0,10.8,60.5,21.2,7.5
1380,1373,100.0,12.8,58.8,20.8,7.6
1380,1374,100.0,12.2,59.3,21.9,6.6
1380,1375,100.0,12.4,59.7,20.7,7.2
1380,1376,100.0,11.9,60.9,21.1,6.1
1380,1377,100.0,11.7,60.8,20.5,7.0
1380,1378,100.0,13.0,58.8,21.3,6.9
1380,1379,100.0,13.1,57.0,21.3,8.6
1380,1380,100.0,13.7,54.5,23.6,8.2
1390,1381,100.0,13.4,55.9,22.0,8.7
1390,1382,100.0,14.7,54.0,22.0,9.3
1390,1383,100.0,15.5,57.9,20.4,6.2
1390,1384,100.0,15.2,57.5,20.8,6.5
1390,1385,100.0,16.7,56.8,20.4,6.1
1390,1386,100.0,17.3,57.5,19.5,5.7
1390,1387,100.0,18.6,56.7,19.5,5.2
1390,1388,100.0,21.9,56.5,16.9,4.7
1390,1389,100.0,22.5,55.4,17.2,4.9
1390,1390,100.0,21.0,59.5,15.9,3.6
1400,1391,100.0,23.3,57.5,15.8,3.4
1400,1392,100.0,24.0,57.0,15.5,3.5
1400,1393,100.0,23.7,58.0,15.2,3.1
1400,1394,100.0,26.4,55.7,14.7,3.2
1400,1395,100.0,26.6,56.4,14.2,2.8
1400,1396,100.0,27.9,55.3,14.0,2.8
1400,1397,100.0,29.1,54.4,13.5,3.0
1400,1398,100.0,29.4,54.2,13.6,2.8
1400,1399,100.0,31.8,52.5,13.1,2.6
1400,1400,100.0,30.4,52.2,14.5,2.9
1402,1393,100.0,23.7,58.0,15.2,3.1
1402,1394,100.0,26.4,55.7,14.7,3.2
1402,1395,100.0,26.6,56.4,14.2,2.8
1402,1396,100.0,27.9,55.3,14.0,2.8
1402,1397,100.0,29.1,54.4,13.5,3.0
1402,1398,100.0,29.4,54.2,13.6,2.8
1402,1399,100.0,31.8,52.5,13.1,2.6
1402,1400,100.0,30.4,52.2,14.5,2.9
1402,1401,100.0,27.5,52.8,16.4,3.3
1402,1402,100.0,25.5,53.7,16.8,4.0
