Report_Year,Year,Household_Size,Household_Size_Average
1380,1371,4.93,
1380,1372,4.93,
1380,1373,4.86,
1380,1374,4.77,
1380,1375,4.75,
1380,1376,4.59,
1380,1377,4.6,
1380,1378,4.56,
1380,1379,4.56,
1380,1380,4.53,
1390,1381,,4.43
1390,1382,,4.36
1390,1383,,4.13
1390,1384,,4.09
1390,1385,,4.05
1390,1386,,3.95
1390,1387,,3.86
1390,1388,,3.76
1390,1389,,3.7
1390,1390,,3.53
1400,1391,,3.46
1400,1392,,3.47
1400,1393,,3.44
1400,1394,,3.38
1400,1395,,3.33
1400,1396,,3.28
1400,1397,,3.24
1400,1398,,3.24
1400,1399,,3.2
1400,1400,,3.21
1402,1393,,3.44
1402,1394,,3.38
1402,1395,,3.33
1402,1396,,3.28
1402,1397,,3.24
1402,1398,,3.24
1402,1399,,3.2
1402,1400,,3.21
1402,1401,,3.27
1402,1402,,3.29
1403,1394,,3.38
1403,1395,,3.33
1403,1396,,3.28
1403,1397,,3.24
1403,1398,,3.24
1403,1399,,3.2
1403,1400,,3.21
1403,1401,,3.27
1403,1402,,3.29
1403,1403,,3.21
