Report_Year,Year,All,Dwelling_Room_1,Dwelling_Room_2,Dwelling_Room_3,Dwelling_Room_4,Dwelling_Room_5,Dwelling_Room_6_Plus
1380,1371,100.0,7.1,25.4,30.3,24.1,8.4,4.7
1380,1372,100.0,7.6,25.4,29.3,24.9,8.9,3.9
1380,1373,100.0,6.4,25.7,31.7,24.6,7.9,3.7
1380,1374,100.0,7.0,25.3,32.8,23.0,7.7,4.2
1380,1375,100.0,6.4,26.8,32.0,23.6,7.8,3.4
1380,1376,100.0,7.6,28.4,33.0,20.9,7.2,2.9
1380,1377,100.0,6.5,27.4,34.5,21.7,7.2,2.7
1380,1378,100.0,6.6,26.7,36.3,20.4,7.3,2.7
1380,1379,100.0,6.1,26.7,35.5,22.6,6.1,3.0
1380,1380,100.0,6.1,27.8,36.0,20.8,6.9,2.4
1390,1381,100.0,5.9,27.3,36.7,21.0,6.5,2.6
1390,1382,100.0,6.3,28.4,36.8,20.3,5.6,2.6
1390,1383,100.0,6.2,30.2,39.6,17.9,4.2,1.9
1390,1384,100.0,5.3,29.3,40.8,18.2,4.4,2.0
1390,1385,100.0,5.6,30.3,40.3,17.3,4.4,2.1
1390,1386,100.0,5.7,30.5,40.8,17.1,4.0,1.9
1390,1387,100.0,5.7,30.1,41.2,17.1,4.2,1.7
1390,1388,100.0,5.0,31.0,42.9,15.7,3.7,1.7
1390,1389,100.0,4.6,30.1,44.0,16.1,3.6,1.6
1390,1390,100.0,4.9,31.9,45.2,13.8,2.7,1.5
1400,1391,100.0,4.2,31.6,45.7,14.1,2.9,1.5
1400,1392,100.0,3.9,30.8,46.3,14.7,2.8,1.5
1400,1393,100.0,3.5,30.4,47.5,14.6,2.6,1.4
1400,1394,100.0,2.9,30.2,47.3,14.9,3.1,1.6
1400,1395,100.0,3.1,29.8,49.7,14.0,2.2,1.2
1400,1396,100.0,2.7,29.6,50.0,14.2,2.2,1.3
1400,1397,100.0,2.6,28.6,51.4,14.0,2.3,1.1
1400,1398,100.0,2.3,28.3,52.1,13.9,2.3,1.1
1400,1399,100.0,2.4,28.6,52.0,13.6,2.3,1.1
1400,1400,100.0,2.4,28.3,51.9,13.8,2.3,1.3
1402,1393,100.0,3.5,30.4,47.5,14.6,2.6,1.4
1402,1394,100.0,2.9,30.2,47.3,14.9,3.1,1.6
1402,1395,100.0,3.1,29.8,49.7,14.0,2.2,1.2
1402,1396,100.0,2.7,29.6,50.0,14.2,2.2,1.3
1402,1397,100.0,2.6,28.6,51.4,14.0,2.3,1.1
1402,1398,100.0,2.3,28.3,52.1,13.9,2.3,1.1
1402,1399,100.0,2.4,28.6,52.0,13.6,2.3,1.1
1402,1400,100.0,2.4,28.3,51.9,13.8,2.3,1.3
1402,1401,100.0,2.1,27.1,52.7,14.7,2.3,1.1
1402,1402,100.0,1.6,26.2,54.2,14.5,2.3,1.2
