Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,1735588.0,,,
1372,2087290.0,,,
1373,2678432.0,,,
1374,3849485.0,,,
1375,4528662.0,,,
1376,5168647.0,,,
1377,6287515.0,,,
1378,7508710.0,,,
1379,8856352.0,,,
1380,9851794.0,,,
1381,11297932.0,,,
1382,12710416.0,,,
1383,14979918.0,12195064.494269572,12143899.449052317,12218854.769603692
1384,15915130.0,13173149.427880155,13050503.256104564,12941364.534685474
1385,18586526.0,14142412.945796745,13944953.419582013,13886757.400535885
1386,23144319.0,16875099.554780796,16736885.9165608,16827431.003031168
1387,27475237.0,19782606.8535561,19778061.86948737,19564812.279998463
1388,30168256.0,21016979.871914912,21095340.875534598,20738621.082112588
1389,35213301.0,24602854.456006072,24482743.575500853,24240190.8217273
1390,43266836.0,31107144.351204198,30930089.842468258,30812844.067074843
1391,56841253.0,42632414.44035245,42278851.18112742,41922399.04091828
1392,74723610.0,52390327.08430747,51991048.37524552,51532539.27415879
1393,80806786.0,54714200.52587355,54778830.76269517,54883804.508161716
1394,83276315.0,57945519.906587556,58930452.3088592,59833465.95746908
1395,89975597.0,61167586.28041261,62598158.234736495,64820944.66804037
1396,99130268.0,69665179.47418864,71730723.08569342,75214275.60318956
1397,131953936.0,84818848.976424,87685530.4701837,91582226.26844656
1398,169665228.0,107051193.19773644,110035832.10688479,115669853.33484192
1399,259663866.0,148572466.31332892,153856163.8386307,161915385.22130743
1400,411975439.0,225736903.5166396,233627080.47621566,243092472.2236711
1401,706797779.0,348202043.16015774,357455909.65884036,369148549.603161
1402,1017472408.0,468428509.7160762,482996654.6095301,497939998.98310715
1403,,578272044.2424176,594402109.1359173,608733527.0953084
