Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,5214226.0,3376218.410648356,3992645.1216986044,
1372,6376620.0,4048634.2662660605,4840236.360918636,
1373,8138244.0,5592830.560558602,6571155.962867528,
1374,10905688.0,8087247.0152025595,9348308.279482083,
1375,13612602.0,9953320.899548441,11774981.57940133,
1376,17167187.0,12111431.226383647,14018943.998718241,
1377,20630996.0,15183391.02405175,17474923.490167473,18479145.02103518
1378,25271337.0,18973652.723527152,21755713.817620587,22734888.917501505
1379,30253120.0,21955249.08974483,25291671.69255018,26661529.239132065
1380,35037726.0,25174023.08051658,29407833.43239059,31598582.741315916
1381,42696688.0,31106414.960369065,36269375.99651879,38775377.231674604
1382,48350184.0,36666348.25439698,42504009.17607996,45257977.47680094
1383,59048828.0,46787822.26125826,53637342.77652695,57329972.62987248
1384,67029089.0,54640182.024317406,62057134.38244938,65461597.81586443
1385,77703979.0,61471567.10345738,70054090.66833282,74322851.1720954
1386,98816925.0,73386256.00859484,84126846.92614368,90642056.92878658
1387,115445398.0,84874414.01718733,97011861.57722636,102898831.5000399
1388,127139134.0,91380315.17122301,102812002.70378463,108135892.88625586
1389,141661774.0,104455189.60113312,116926457.38398895,124210690.74899791
1390,173925938.0,121248046.38003145,134748170.42120653,143067464.5676574
1391,216539613.0,152529327.80388507,167409990.37556556,179369156.69915882
1392,284462336.0,189579992.37701547,210621753.6669703,227993349.69651434
1393,328759975.0,213982091.2928243,240147139.91716626,263798721.7329952
1394,352650751.0,236657989.09043458,267516332.11175236,295520769.8967111
1395,393005874.0,255846753.86642662,289609715.0755848,322629315.2255149
1396,421308525.0,297841467.63826764,335387004.3506981,375443173.38383114
1397,521930268.0,358035205.83297586,402759077.74237984,453918152.02877253
1398,671842795.0,433947568.28152853,486439597.5035285,552094156.174035
1399,929411537.0,567841875.2956591,634683660.7831435,714229144.8985913
1400,1414845174.0,846668895.6922315,941351481.7269865,1049818550.7024087
1401,2297070313.0,1263912554.3697667,1396685264.2922091,1559418513.3501165
1402,3405422749.0,1886725389.1713476,2102992104.205607,2386045297.1235304
1403,4692727733.0,2460461086.774998,2734649488.4598713,3040857572.441435
