Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,100.0,,,
1372,100.0,,,
1373,100.0,,,
1374,100.0,,,
1375,100.0,,,
1376,100.0,,,
1377,100.0,,,
1378,100.0,,,
1379,100.0,,,
1380,100.0,,,
1381,100.0,,,
1382,100.0,,,
1383,100.0,99.93962821036293,99.94320230744563,99.94779984698667
1384,100.0,100.0,100.0,100.0
1385,100.0,100.0,100.0,100.0
1386,100.0,100.0,100.0,100.0
1387,100.0,100.0,100.0,100.0
1388,100.0,100.0,100.0,100.0
1389,100.0,100.0,100.0,100.0
1390,100.0,100.0,100.0,100.0
1391,100.0,100.0,100.0,100.0
1392,100.0,100.0,100.0,100.0
1393,100.0,100.0,100.0,100.0
1394,100.0,100.0,100.0,100.0
1395,100.0,100.0,100.0,100.0
1396,100.0,100.0,100.0,100.0
1397,100.0,100.0,100.0,100.0
1398,100.0,100.0,100.0,100.0
1399,100.0,100.0,100.0,100.0
1400,100.0,100.0,100.0,100.0
1401,100.0,99.99999241753564,99.99999113718962,100.0
1402,100.0,99.99984036709584,99.99981594902984,99.999754307596
1403,,100.0,100.0,100.0
