Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,17.0,12.635245113785864,15.88148231382038,
1372,18.5,13.960323057176076,18.065889626923475,
1373,20.1,15.311728429563289,19.425085036181446,
1374,19.3,14.777991567446557,18.35462500641444,
1375,19.1,14.342034378630798,17.666374704976484,
1376,19.3,13.815794299777174,16.532332526114594,
1377,19.9,14.180787647695086,16.777841335679557,15.127441640319597
1378,20.4,16.09441776256591,18.861467391923814,17.36247767327397
1379,21.9,16.322333343634693,19.098111165520287,17.291697580188828
1380,22.9,17.318043643497983,20.22966940718028,18.688449065834334
1381,24.1,19.21989854191037,22.109763478366194,21.262738485524768
1382,23.3,21.266258369971577,24.031136188623396,22.78197420496339
1383,22.4,20.537631974591118,22.95384246053324,21.468916591513267
1384,21.8,20.180698065433933,22.264631455209106,20.883524728988665
1385,21.1,18.784376103136154,20.879993843500845,20.295870222671862
1386,20.4,17.2539339892014,19.60673307827056,18.864446343273038
1387,19.6,12.517721812130363,14.036495641508619,12.424143617976737
1388,16.8,11.559848731842745,12.771927582390715,11.31089406833536
1389,16.2,10.924286179976264,12.024785264518345,11.165186753275545
1390,15.7,10.60847885173902,11.716871021476623,10.476560444256709
1391,14.4,10.675494075330779,11.76697872910014,11.079998398509767
1392,13.7,9.077826107304514,10.20328505650023,10.305901906646035
1393,13.7,8.929059161768173,9.974900232421396,9.844359053356929
1394,13.4,9.655370167741024,10.702982215786129,10.9099740028019
1395,13.0,10.102744545046765,11.061245360374489,11.238937057596962
1396,13.1,10.94120835163923,12.015300471464924,12.450704704959577
1397,13.7,10.666870765281585,11.698584835965738,11.904240229987181
1398,14.1,10.094115224005835,10.731714904350603,10.756105029037652
1399,15.1,9.221394618687926,9.954894776476777,10.244389533908775
1400,14.2,9.139418139484597,9.86572713244117,10.018021641906891
1401,14.3,8.34001817183298,8.88443943296805,9.173364443933082
1402,15.3,8.72502214017195,9.334177062142794,9.440793580582783
1403,15.7,8.440115142511127,9.066497396422562,9.04209927243411
