Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,17.1,11.286444118885457,16.53097602608565,
1372,16.5,11.469201574760634,17.144949131980997,
1373,17.2,12.189303795058096,17.29362595345533,
1374,15.8,11.94927101309615,17.054666141626964,
1375,15.5,11.706772459801241,16.82344335319606,
1376,16.1,12.252389108628952,16.65665563332656,
1377,17.1,13.0492955042132,17.502478382617063,19.38894284426345
1378,17.5,12.984432750011358,17.37420757669317,19.0016439940499
1379,17.8,13.38041774429131,18.030412524671487,19.712381547327876
1380,18.5,14.048978048008554,18.715303548799717,20.96827382175478
1381,20.6,15.82031716743078,21.06112418287287,23.217856686021964
1382,20.9,17.10089862659683,22.488654920093488,24.876544475384105
1383,25.1,19.872354115691092,25.725854192902815,28.6445240499098
1384,28.8,21.829030831499924,26.84834296208867,29.29803722950572
1385,31.1,24.473442195568776,30.172642910048502,33.05697107072209
1386,33.0,25.460190947520942,31.260909903821528,34.121535719824536
1387,35.4,27.572413422710483,33.56500684626059,36.348408997922306
1388,36.6,29.87752163266553,35.47124507224253,37.69982371262957
1389,39.5,32.04408549497039,37.286248210372605,39.34206762130751
1390,42.2,34.287053937970214,39.717322199008635,42.044604997850975
1391,43.1,36.824284812466544,41.903257682300044,44.263049639764155
1392,44.4,38.529986800701195,43.92499327007804,46.87934810170584
1393,45.8,39.99440855204418,45.54932019075786,48.84949851264287
1394,46.9,40.998872962940716,46.57223469919589,49.75985681557819
1395,48.6,42.287288179951375,47.61067090774279,50.523274017868935
1396,49.4,45.431733069546105,50.55275665639384,53.4483934166398
1397,50.5,48.143119861918706,53.20760063039726,55.719923654917686
1398,50.7,48.24926973914841,53.095404204600484,55.20508096660858
1399,51.5,48.63166330558395,53.084371663120116,55.68042175948585
1400,52.2,49.751116502995814,53.886820052623825,56.250365213819045
1401,55.2,49.96379508131377,53.71695719666997,55.36517470170977
1402,56.4,51.02040126565378,54.831347490011474,56.39536556086723
1403,,51.39899796398492,54.89830681087224,55.34740276554617
