Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,,,,
1372,,,,
1373,,,,
1374,,,,
1375,,,,
1376,,,,
1377,,1.1637188795131257,1.7304351164421343,2.2354612482821152
1378,,1.5420808133750097,2.2887441916956908,2.671281867174798
1379,,2.7751311007031094,4.135557857169347,5.001161051708624
1380,5.2,5.371867571170132,7.860037456279538,9.326371656473441
1381,8.3,7.736264432668523,11.192207560895566,13.088043488039391
1382,11.2,10.555709338826217,14.856677398084322,16.794122574768465
1383,15.8,13.919636543685094,19.166073001041273,21.651541426784906
1384,27.1,23.3326850778102,30.213598053885754,33.35752156203968
1385,39.4,34.2044034767486,43.14939186006721,47.246796433774435
1386,63.8,54.22546820973343,64.73739100516548,67.3006193107342
1387,80.9,70.78773546127837,79.2533408311465,81.07773768483506
1388,86.7,79.8915441255134,85.56901271185687,86.54945656959087
1389,89.9,84.35049502723773,88.36258089424527,88.97271036147984
1390,93.3,86.69562986849976,89.97411843763987,90.51003528608035
1391,93.7,89.32134911426166,92.07992808642386,92.81640867396521
1392,94.7,91.71833192006703,93.8288742182051,93.96244130024458
1393,95.2,92.26840641325211,94.08946290455887,94.20347493150147
1394,95.3,92.92876447235274,94.68044473768967,94.94142548631797
1395,96.3,93.21404379312038,94.76176276732744,94.97836590182256
1396,96.6,94.12445880638424,95.63544052545376,95.85872699981775
1397,96.9,94.70577094397119,95.91764924615222,96.14208245015041
1398,97.0,94.71163717745678,95.74206812365085,95.97799541859442
1399,97.6,95.72649216512097,96.48249661553604,96.58125144090442
1400,98.1,96.31217414022694,96.81367651347982,96.99271136509991
1401,98.9,95.60634701463808,96.18358894357834,96.31831541090239
1402,99.2,95.78848794851878,96.33807554861419,96.38239843643997
1403,99.3,95.65103546842106,96.05232837423753,95.82882082771921
