Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,14.0,12.752464218190692,12.07475155332555,
1372,13.2,12.98232517081696,12.094991753736615,
1373,14.4,13.527337612833888,12.346771507132543,
1374,13.4,13.19365307870102,12.303879979836594,
1375,12.9,12.647644125796262,11.84112048266651,
1376,12.9,12.095044398269382,10.998977448917168,
1377,13.8,13.027714519696385,11.942552943907176,10.9013226220531
1378,12.3,13.068780404861789,11.93364356432945,10.879908974118806
1379,13.7,13.261103793025482,12.085379553807671,11.222531763099523
1380,13.5,13.590695462385177,12.447740611648836,10.905604925959818
1381,14.7,15.41257912033612,14.124232916391364,12.791590097834906
1382,16.7,18.626570266561654,16.727813939819168,14.643678189613691
1383,18.9,20.788683029105925,18.163785942648193,15.936195031737048
1384,18.8,22.257662498429276,19.501803538307108,16.826506455559997
1385,18.8,22.971114876929203,19.88352720810046,16.533602653690508
1386,19.5,23.767546421964305,20.079467467457153,17.31167553950225
1387,19.6,22.59088186003428,19.019475250568153,15.618222281456813
1388,19.0,22.25527211635154,18.846995834967778,15.678390835737048
1389,18.5,21.504869994021952,17.913900912649048,15.381547066244504
1390,18.5,21.40546350466313,18.04949830847469,15.571184583249634
1391,18.4,20.204317365441803,16.627839032311492,13.754270676332636
1392,17.8,19.113271241103597,15.397203728876022,12.657188418438793
1393,17.2,18.95451030091586,15.318095199424384,12.618464373087306
1394,17.4,19.097188834097004,15.68678041224945,12.856681541380473
1395,17.2,19.193463322944027,15.688696061741204,13.376270783177526
1396,16.0,19.42192325406793,16.083253754181396,13.701741263403672
1397,15.8,17.577269963256686,14.117208421082214,11.932472996814194
1398,15.8,17.2208943410238,14.097184950650496,12.649902883332647
1399,15.5,15.519559068025417,12.72014454680343,11.120932617636452
1400,16.8,15.403260869809536,12.674333694523025,11.178516219625278
1401,16.7,14.993453798459765,12.552458425160461,11.335084261233295
1402,17.3,15.094847728505917,13.018606267166023,11.645975549013166
1403,,14.594333852573444,12.555642121302341,11.46889117419068
