Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,76.8,63.643563564808055,72.14849970951094,
1372,77.4,64.27716900969422,72.3397970005139,
1373,76.9,66.7384550644176,74.50173118067326,
1374,76.9,65.17075075713166,72.54988252075385,
1375,76.1,65.47950360377386,72.38535792524505,
1376,75.8,65.88918094234363,71.90675084625663,
1377,76.0,64.07498632803802,70.32046573789381,72.18031306146824
1378,74.2,64.13159069835702,70.10101978478868,71.06019069188474
1379,74.2,64.20302486908784,70.65389646739818,72.17365426787556
1380,75.7,63.749225644051364,70.0896624667504,71.75667063620126
1381,73.8,64.61544409414718,71.26114484752229,73.25044482608517
1382,71.9,64.30945184580048,69.4975112863732,71.40061143815005
1383,72.2,64.1837780355641,71.07422632160555,73.31394525557552
1384,72.5,64.47730698409808,70.2279344961612,71.6376613947557
1385,71.0,64.42567511064438,70.90294295721364,73.45273611043305
1386,70.1,62.421438519824854,68.73719333903239,70.39041911535054
1387,67.8,58.23951980015909,63.959162025503865,65.54116234761759
1388,67.7,57.79959128659866,62.960202598368056,64.73627488972696
1389,65.4,53.91073723275617,58.34884591577539,60.1684864220264
1390,63.6,50.41709684112527,54.27620010710114,55.120301894080555
1391,58.9,51.489025821782555,55.28484443565973,56.36412688258461
1392,57.6,46.34006948706305,50.42480055371345,51.539862130647585
1393,54.8,44.90109028606962,48.33987559529413,49.860703555820336
1394,53.3,43.580851166638624,46.375358589922975,48.0761216475772
1395,48.6,44.168137545312405,47.692644313297535,50.37672480801246
1396,49.2,43.77845524564274,47.26649003684973,49.13770333087874
1397,48.8,41.55591654305905,44.261991321708656,45.97844504804092
1398,46.4,42.271872918481456,45.2619172359758,47.109383641826824
1399,45.3,40.99349162007375,44.17426447676235,46.34483591012971
1400,42.6,38.516028590208876,40.94263504774884,40.87541678643712
1401,42.5,37.939287831071596,40.40390232866884,41.718432835559206
1402,45.0,38.72633682170778,41.3270050470859,43.029022441615744
1403,43.5,35.0839838491834,36.88062956342478,36.58014447879293
