Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,96.2,84.55343382705283,97.48951809486051,
1372,96.9,83.21978573545009,97.9270009134399,
1373,96.8,88.03029636421563,97.98923299504419,
1374,97.7,88.79262028012089,98.23455390762904,
1375,97.8,88.2216024897149,97.9463148390721,
1376,97.4,91.3043884935026,98.34749001398056,
1377,97.4,91.80155276894195,98.26824072341874,98.50520547706043
1378,97.8,92.92968609125884,98.89048218290716,99.02650320598023
1379,98.3,92.97471820990933,98.74250317493994,98.97753360580504
1380,98.6,94.15617669151061,99.18740580577234,99.24079075547404
1381,98.2,94.76181106886092,99.20983974800694,99.20195860238071
1382,98.3,94.63820865907229,99.223151201187,99.26865707493288
1383,98.1,95.64322420706041,99.09864779049553,99.3430844789487
1384,98.1,96.3979818263833,99.54116346876101,99.62987132394284
1385,97.8,96.70339420513271,99.59445634132955,99.74562679880066
1386,98.9,96.75296318087271,99.54825226760934,99.62120286614686
1387,98.7,97.15053623126369,99.65011739792554,99.66672146883228
1388,98.5,97.87615523613042,99.60130024352362,99.7696400382883
1389,99.0,97.87434093970754,99.59642206334436,99.77087474154119
1390,99.2,97.9130606796958,99.76284630614484,99.89849991215114
1391,99.3,98.47106324231329,99.83444641913968,99.8642313067917
1392,99.4,97.62657170169105,99.3715965383713,99.24166283158019
1393,99.5,98.12729510949835,99.50679780360738,99.38021859353181
1394,99.6,98.44207875277533,99.67356777315563,99.5791022332234
1395,99.4,98.47205682517101,99.67992885643862,99.62558836013848
1396,99.4,98.44727121624562,99.70826030267469,99.6680381677942
1397,99.5,98.22313398986644,99.67875074885627,99.65582837270108
1398,99.6,98.45209035933263,99.645118019546,99.67190910157466
1399,99.6,98.70173052165731,99.68237824080946,99.66160733333537
1400,99.5,98.80099787162578,99.65824476597612,99.63526575466013
1401,99.5,98.82975988013169,99.67507763760976,99.64352362564338
1402,99.6,99.03253866697473,99.78094739909298,99.73424332183546
1403,99.5,99.02137872575584,99.73727079209533,99.67378247857599
