Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,,,,
1372,,,,
1373,,,,
1374,,,,
1375,,,,
1376,15.4,,,
1377,15.6,,,
1378,16.7,,,
1379,17.8,,,
1380,19.3,,,
1381,19.7,,,
1382,21.2,,,
1383,22.1,,,
1384,24.9,,,
1385,25.8,,,
1386,28.4,15.102050574105782,21.189433974650235,21.937605048367857
1387,29.1,16.61280932490658,22.464833096782286,24.286756645129188
1388,33.2,18.70753984051536,24.929390914741468,27.099822000290988
1389,35.6,19.169088927167742,25.490997482291345,27.2103434824625
1390,36.8,22.47449160959556,30.34800387205477,32.554779695071645
1391,38.7,24.72780089128684,32.81533202797638,36.15860820861024
1392,41.2,26.08630634867754,35.21178760669922,41.08740511804853
1393,43.5,29.11309664182436,39.194757392690796,45.98538879813753
1394,46.5,28.907997228440518,38.79630447400108,44.71476305545341
1395,51.7,31.3666964234216,41.82449377180472,48.679663575220935
1396,53.3,33.19902395722348,43.53988810253784,50.909451129969625
1397,56.0,32.64305004079986,42.7394208746893,51.3423851650653
1398,56.4,34.79535274666817,45.380400277103845,54.380688357765386
1399,59.0,36.09080140724796,46.69199923258766,56.64646720562419
1400,63.4,36.62814259620297,47.04965777779421,56.66000231375866
1401,65.4,38.98795358892744,49.54325667958598,60.05891841653213
1402,66.1,37.545883860649575,47.66106567772611,58.27712659526147
1403,,39.30849883816361,49.68278606319086,59.63941882168764
