Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,,5.19932173204086,4.907762794349802,
1372,,5.2122807586005875,4.89772617491832,
1373,,5.243532609733845,4.968700838025122,
1374,,5.199917387390927,4.902696036985484,
1375,,5.100570866228531,4.801146441308968,
1376,,4.9912460937839835,4.749426294272546,
1377,,4.9733753811293875,4.721427002666046,4.63934563524086
1378,,4.914194940131664,4.662113984407416,4.541355461852124
1379,,4.716963080730036,4.409676535265986,4.341195783970927
1380,,4.650300113479527,4.356029330157159,4.25742003895308
1381,4.43,4.54489889215892,4.24053659655792,4.145679838071016
1382,4.36,4.475386484002043,4.247506131685497,4.138668744174379
1383,4.13,4.374979695400278,4.132538362388542,4.0222661481323
1384,4.09,4.27746515410362,4.068422813011303,3.99747126246365
1385,4.05,4.184832769194874,3.983857639928902,3.9145428571720013
1386,3.95,4.062487038563879,3.868033337015871,3.796586568523395
1387,3.86,3.9548072234322076,3.8252369523075407,3.7305055437892096
1388,3.76,3.907682135091275,3.783484646886497,3.697534745186406
1389,3.7,3.798605324857012,3.692384217923728,3.610933284478452
1390,3.53,3.7578132190891727,3.658220823055527,3.587660742223176
1391,3.46,3.691388769726958,3.6144505443045287,3.5547295163578405
1392,3.47,3.5588434325089735,3.4819703940053297,3.4262174451092977
1393,3.44,3.5304962254649492,3.4579283287977165,3.410466010109679
1394,3.38,3.5140094807859925,3.458562241612671,3.3898701889840286
1395,3.33,3.483755619318083,3.42606969175299,3.3716388448921113
1396,3.28,3.474032720727283,3.4267792289504833,3.375364909202704
1397,3.24,3.406665099367334,3.3621078879458284,3.299304453780446
1398,3.24,3.385642357523182,3.3420425569279613,3.2728081271087754
1399,3.2,3.356244967378778,3.309695384867027,3.251728273778852
1400,3.21,3.3115613719446158,3.261369497832181,3.2075824438839744
1401,3.27,3.271634494983172,3.232087560581855,3.17984565402622
1402,3.29,3.2144473691239086,3.1872297437225505,3.132593734625013
1403,3.21,3.182473915773032,3.1509104563250214,3.089505630745019
