Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,25.4,21.506749468012877,17.622655025900233,
1372,25.4,19.07400446308991,15.060805042903207,
1373,25.7,17.102314179375277,13.338484398351651,
1374,25.3,16.471331840457914,12.70262357718575,
1375,26.8,17.669985002281454,13.975671696092729,
1376,28.4,17.21262782183883,14.348795764733818,
1377,27.4,15.712389241405901,12.59097491448502,12.243874860588468
1378,26.7,14.997638632872562,11.230541254677368,11.050726810922988
1379,26.7,16.28047009171886,13.62269170777333,13.457814132288693
1380,27.8,16.60575371347475,14.320811612258415,14.113724964633814
1381,27.3,16.7072108228229,14.168192588735977,14.2268390490616
1382,28.4,15.056074969425032,12.151800889637963,12.261157741465917
1383,30.2,16.008717969720507,13.963894807018493,13.623998195183178
1384,29.3,14.471966875837962,12.10072876341182,11.311543137564861
1385,30.3,13.859979749715494,11.748905912231182,11.350445066597185
1386,30.5,14.461573691360991,12.230496728860201,12.11672686626453
1387,30.1,16.74464868407804,14.606591582726677,14.936910292937831
1388,31.0,19.041148087341373,18.352008283495067,20.24806469724858
1389,30.1,16.31712347556709,15.1745909423321,16.402494087489895
1390,31.9,18.70560161240277,17.742302369117304,19.017882143374752
1391,31.6,14.35044692605632,12.900585664971828,13.87664539817274
1392,30.8,10.89997881292573,8.515187414300975,8.084384777589726
1393,30.4,9.639068995939386,7.529177413508176,7.249697688291921
1394,30.2,8.853386609730904,6.953367236928436,6.477224683694456
1395,29.8,9.100926142594464,7.362966772667334,6.657295292856417
1396,29.6,8.484909640594191,6.741429850545433,6.463202610560107
1397,28.6,7.947673979167158,6.293926653662897,6.140503826773452
1398,28.3,6.439703848406902,4.542473590519513,4.064970968417823
1399,28.6,6.252540184965131,4.491468550522535,3.9668065466989253
1400,28.3,6.667617206122783,5.169353148761445,5.128118483331199
1401,27.1,8.6056504709756,7.191093339784556,7.281362567558106
1402,26.2,8.173214456141253,7.251028324015045,7.418201305842932
1403,,8.574933411781995,8.130403866239265,9.207573327397341
